stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,hatching_gland,immune,lateral_line,melanocytes,mesenchyme,mural_cell,neural,olfactory,pericytes,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,29.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.69,0,0,16.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,1.92,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,1.89,1.48,0,0,0,0
 60-70,0,0,0,0.68,0,0,1.28,0,0,0,0,0,0,12.13,0,0,6,0,0,0,0,0
 72-82,0,0,0,0,2.26,2.6,0,0,0,0,2.41,2.05,0,15.19,12.77,0,3.13,0,0,5.54,0.51,0
 84-94,0,0,0,0,0.78,1.49,0,0,0,0,0,0.76,0,8.86,2.35,0,0.61,1.12,0,2.5,0,0
 96-106,0,0,0,0.88,0,0.89,3.21,0,0.6,0,0,0,0,1.36,0,0,20.78,0,3.65,8.37,0,0
108-118,0,0.76,0,2.27,1.32,0,0.78,0,0,5.19,0,0.56,0,16.33,0.84,2.52,10.97,0,0,0,0,4.27
120,0,0,0,0,0,0,0,0,7.97,0,0,0,46.15,7.3,0,0,1.89,0,1.99,7.07,0,0
