stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,39.87,497.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.84,258.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.95,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.39,4.32,0,0,0,19.26,0,0,0,0,19.05,0,0,0,0,0,0,0,0,0,230.86,4.5,0,0,49.05,0,0,0,0,0,0,0,0
 10-12,0,11.12,18.56,0,5.1,25.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.51,6.41,0,0,57.8,6.22,4.94,0,13.3,0,0,0,0
 14-21,0,0,0.94,2.74,0.86,3.76,0,0,2.9,0.84,0,0,3.42,0,0,0,0,1.23,0,2.56,51.05,0,0,0,1.37,4.43,0,6.1,0,0.87,11.41,0,0
 24-34,0,0,0,7.99,0,14.17,0.7,0,5.23,0,0,1.25,0,0,0,1.53,0,10.92,0,2.32,167.35,0,2.11,1.93,0,6.42,0,0,1.72,0,31.2,1.95,0
 36-46,0,0,0,0,0,40.47,1.17,0,0,0,0,0,5.29,0,0.57,0,0,6.42,2.49,0,218.57,0,1.54,0.85,0,0.65,0,0,0,0,37.63,0,0
 48-58,0,0,0,0,0,109.75,0,0.43,6.12,0,0,0,0,0,0,0,0.59,12.74,0,3.58,312.63,0.71,0,0,0,2.14,0,0,0,0,16.56,0,2.18
 60-70,0,0,0,2.64,0,61.86,0,0,3.63,0,0,0,0,0,0.65,0,0,11.14,0,0.86,191.85,0,0,0,0,0,0,0,0,0,32.18,3.23,0
 72-82,0,0,0,1.07,0,40.72,0,1.18,4.95,0,0,0,0.7,0.63,0,0,0,10.76,3.35,0.51,79.82,0,0,0,0,0,0,0,0,0,3.02,0,0
 84-94,0,0,0,0,0,32.05,0,0,8.85,1.01,0,0,0.86,0,0,0,0,10.95,0,0,27.39,0,1.04,0,0,0.83,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,12.49,0,0,5.91,0,0,0,0,0,0,0,0,3.4,0,0.58,41.65,0,0.81,0,0,0.82,0,0,0,0,0,0.93,0
108-118,0,0,0,0.47,0.59,22.27,0,0,1.11,0.54,0,0,0,0.59,0,0,0,15.86,0.72,0.44,65.81,0,2.28,0,0,0.81,0,0,0,0,0.78,1.95,0
120,0,0,0,0,1.3,41.38,0,0,2.66,0,0,0,0,0,0,0,0,6.74,0,1.04,78.25,0,0,0,0,0,0,0,0,0,0,1.23,0
