stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.85,0,0,0,0,0,0,0
  5-6,287.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.38,0,0,0,0,0,565.87,0,0,0,0,0,0,0
  7-9,103.87,212.69,0,0,142.74,0,0,0,0,0,12.45,0,0,0,0,0,0,0,0,0,0,0,3704.41,4.73,0,0,346.1,0,174.74,0,0,0,0,0,0,0
 10-12,16.39,88.68,0,0,26.26,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,0,2441.76,0,0,0,133.99,0,33.18,10.27,7.28,0,0,0,0,0
 14-21,0,0.93,167.17,2.63,6.34,0,0,0,0,0.98,0,0,2.44,0,0,0,0,0,11.9,0,0,4.09,19.72,1.42,5.23,0,1.39,0,31.51,3.58,1.75,9.54,0,0,1.06,0
 24-34,0,1.27,230.03,0,7.48,0,8.34,0,1.66,0,0,0,25.59,0,0,7.32,0,0.62,67.79,0.69,0,17.76,42.46,6.46,0.75,3.14,0,0,15.39,21.28,0,2.5,0,0,3.69,0
 36-46,0,0,123.68,0,0,1.42,28.05,1.86,0,2.02,0,0.56,45.45,0,0,10.58,0,0,92.69,0,1.73,13.93,39.83,5.95,3.06,3.27,0,0,12.28,37.88,0,7.03,0,0,2.24,0
 48-58,0,0,82.21,0,4.14,0,34.17,0,1.02,0.68,0,0,19.61,0,0,3.83,0,0,104.08,0.39,1.43,12.06,41.74,2.3,7.33,6.55,0,0,12.07,13.17,0,0,0,0.64,2.87,0
 60-70,0,0,101.65,0,0.7,0,58.67,0,0,2.47,0,0,43.24,0,0,4.83,0,0,97.16,0,2.11,10.79,17.93,4.08,2.67,2.39,0,0,5.88,22.01,0,2.47,0,0.84,4.06,1.72
 72-82,0,0,55.41,0,4.04,0,25.2,1.19,1.62,7.45,0,0,21.87,0,0.5,3.08,2.66,0,102.47,0.61,1.99,13.63,10.06,0,4.36,1.29,0,0,5.44,37.67,0,2.59,0,1.68,1.58,0
 84-94,0,0.67,109.78,0,1.47,0,51.82,0,0.82,7.87,0,0,56.66,1.29,0.71,10.39,2.42,0,94.38,0,0,2.72,4.73,0.73,7.79,11.74,0,1.75,20.77,63.21,0,0,0,0.59,0.6,1.16
 96-106,0,3.31,97.15,1.94,0,0,37.59,0.82,0,5.55,0,0,29.94,0,0,7.62,1.96,0,70.9,8.21,0,4.9,15.79,0,11.14,14.52,0,0,15.8,50.66,0,0,0,2.58,0,2.94
108-118,0,2.14,119.67,1.57,9.73,0,60.81,0,7.19,9.54,0,0,36.75,0,0,0.43,9.98,0,104.63,2.1,0,6.1,15.86,2.29,17.31,10.61,0,0,22.28,35.8,0,0,2.39,0.64,0,0
120,0,0,140.87,0,2.96,0,54.52,0,3.3,18.08,0,0,92.69,1.36,0,0,9.36,0,101.07,0,0,14.31,15.74,0,10.27,3.12,0,0,15.52,37.84,0,0,0,0,0,0
