stage,blastomeres,eye,glial,immune,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,somites,vasculature
  3-4,11.24,0,0,0,0,0,0,0,0,0,0
  5-6,21.2,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.25,0,0,0
 10-12,0,0,0,0,0,0,19.38,14.78,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.84,0
 24-34,0,0,0,0,0,0,2.91,0,0,0,0
 48-58,0,0,0,0,0,0,0.43,0,0,0,0
 72-82,0,3.96,3.02,0.49,0,0.51,3.92,0,0,0,0
 84-94,0,0,0,0,1.79,0,3.51,0,0,0,0
 96-106,0,0,0,0,2.49,0,0,0,0.57,0,0
108-118,0,0,0,0,0,0,1.22,0,0,0,0
120,0,0,0,0,0,0,8.06,0,0,0,3.87
