stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.11,73.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.85,0,0,0,0,0,0,0,0
  5-6,13.97,84.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.44,0,0,0,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.65,0,0,0,12.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.28,0,0,0,8.6,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,30.51,0,0,0,0,1.4,11.03,0,0,0,0,0,21.21,0,0,2.61,0,0,5.3,0,0
 36-46,0,0,0,0,0.94,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0,50.13,0,0,3.82,0,2.91,18.89,0,0.7,0,0,0,437.48,0,0,1.44,0,0,2.03,0,0
 48-58,0,0,0,0,3.65,0,0,18.07,0,8.4,4.15,3.16,0,0,0,0,4.15,0,0,17.74,0,11.46,10.25,0,0.52,65.08,0,5.73,0,0,0,1274.66,0,0,12.23,0,0,1.27,0,0
 60-70,0,0,0,0,9.51,0,0,37.52,0,21.79,0.62,5.62,0.65,0,0,0,3.12,0,0,1.57,0,9.03,18.34,4.4,0,98.96,0,1.12,0,0,0,2393.54,0,0,15.36,0,1.22,0,0,0
 72-82,0,0,0,0,40.37,7.11,0,39.83,3.17,31.69,0.92,11.21,1.99,0,0,6.97,25.79,15.53,0,1.26,0,19.2,19.12,10.45,2.44,103.23,0.76,0.95,1.43,0,0,2958.3,0,0,0,13.61,0,10.82,0,0
 84-94,0,0,0,0,49.41,15.34,0,71.62,0,144.17,2.3,14.09,2.2,1.3,0,0,89.1,0.79,0,0.83,0,28.43,58.88,2.05,4.34,109.46,0.57,11.15,0,0,0,12736.88,0.78,0,9.71,7.7,0,0,0,6.48
 96-106,0,0,0.95,0,315.33,21.21,1.84,184.58,0,237.05,0,76.82,13.11,0,1.61,4.65,154.16,5.47,2.87,24.47,3.61,86.58,194.65,6.6,9.61,383.78,0.64,11.76,2.07,0,3.32,16642.86,1.03,0.84,29.05,11.15,1.25,29.12,3.23,18.74
108-118,0,0,3.15,0,294.05,2.68,5.22,119.25,1.89,331.36,3.68,64.26,22.57,0,0,0.85,221.88,0,0,1.1,0.54,89.53,169.97,2.83,15.73,281.66,2.4,7.45,0.74,0,2.26,14508.71,0.54,0,6.34,15.85,2.34,11.56,9.68,1.35
120,0,0,0,0,201.64,2.51,0,22.61,0,192.71,0,30.95,0,0,0,0,95.96,0,0,0,0,17.26,137.8,0,4.63,132.72,0,40.8,3.63,0,0,6729.27,0,0,2.96,2.86,2.41,0,3.69,0
