stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,88.78,1610.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610.06,0,0,0,0,0,0,0,0,0
  5-6,118.13,2081.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.48,0,0,0,13.35,0,1146.36,0,0,0,0,0,0,0,0,0
  7-9,15.5,43.46,63.84,0,0,0,59.54,0,0,0,99.85,0,0,0,0,0,0,0,0,0,936.57,7.5,0,0,343.28,0,50.72,0,0,0,0,0,0,0,0,0
 10-12,0,35.59,33.06,0,0,0,43.97,0,0,0,21.14,0,0,0,0,0,0,0,0,0,465.36,17.63,0,0,284.41,0,26.73,0,46.31,0,7.48,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,6.66,0,0.83,10.89,4.06,0,0,0,0,42.96,2.09,0,2.59,10.64,1.76,0,0,0,0
 24-34,0,0,0,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,13.02,0,1.16,26.46,0,0,0,0,0,53.1,0,0,0,0,2.32,0,0,0,0
 36-46,0,0,0,24.33,0,0,2.02,0,0,0,0,0.82,0,0,0,0,0,4.17,7.23,0,9.08,0,0,0,0,0,270.57,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,61.93,0,0,2.63,7.19,3.08,0.76,0,0,1.78,0,0,0,0.56,14.63,10.35,0,28.12,0,0,0,0,0.61,986.82,0,0,0,0,6.64,0,0,0,1.99
 60-70,0,0,0,33.76,0,0,14.83,5.92,2.63,0,0,0,4.92,0,0,0,0,9.6,6.07,0,35.74,0,1.44,0,0,0,1420.16,0,0,0,0,7.11,0,0,0,0
 72-82,0,0,0,31.75,1.18,0,26.3,10.34,0,0,0,0,3.93,5.75,0,3.93,0,9.58,10.3,0,26.47,0.61,0,0.56,0,1.05,1380.34,0,0,0,0,4.12,0,0,0,0
 84-94,0,0,0,78.11,0,1.17,10.21,44.6,1.18,1.78,0,0,39.36,0,0,1.22,0,9.87,72.47,4.77,24.76,0,0,0,0,0,4409.67,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,13.51,9.59,0,31.05,12.96,2.15,0.81,0,0,10.46,0,1.24,0.74,0,7.52,50.13,0,13.5,0,0,0,0,0,1940.41,0,0,0,0,8.84,0.69,0.93,1.34,0
108-118,0,0,0,17.38,0.42,0,11.28,16.13,4.71,0,0,0,7.41,0,0,19.6,0,9.36,32.69,0,21.22,0,1.89,0,0,0,1278.84,0,0,0,0,0,0,0,0,0
120,0,0,0,11.19,2.24,0,6.63,22.6,0,0,0,0,4.73,0,0,1.57,0,0,11.52,0,34.19,0,0,0,0,0,1507.61,0,0,0,0,0,0,0,0,0
