stage,axial,blastomeres,endocrine_pancreas,erythrocytes,eye,glial,hatching_gland,liver,mesenchyme,neural,otic,paraxial_mesoderm,periderm,spinal_cord
  5-6,11.57,17.98,0,0,0,0,0,0,0,0,0,0,11.11,0
  7-9,0,0,0,0,0,0,3.59,0,0,6.9,0,9.44,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0.86
 24-34,0,0,0,0,0,0,0,0,0,10.21,0,0,0,0.63
 36-46,0,0,0,0,0,0,0,0,0,33.54,0.69,0,1.21,3.22
 48-58,0,0,0,0,2.23,1.14,0,0,0,31.49,0,0,0,0
 60-70,0,0,0,0,17.16,1,0,0,0.91,111.08,0,0,0,5.49
 72-82,0,0,0.57,0,12.14,0.67,0,0,0,92.33,0,0,0,1.31
 84-94,0,0,0,0.57,8.58,1.09,0,0,0,59.41,0,0,0,0
 96-106,0,0,0,0,33.84,3.19,0,0,0,23.08,1.39,0,0,0
108-118,0,0,0,0,11.64,2.48,0,1.57,0,67.72,0,0,0,0
120,0,0,0,0,8.11,15.17,0,0,0,68.02,0,0,0,0
