stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,34.42,573.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.64,0,0,0,0,0,0,0,0,0
  5-6,80.83,1994.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.61,14.56,0,0,61.46,0,9.1,0,0,0,0,0,0,0,0,0
  7-9,24.86,28.57,61.01,0,0,131.59,0,0,0,0,0,14.99,0,0,0,0,0,0,0,0,0,0,888.79,38.34,0,0,240.29,0,3.28,0,0,0,0,0,0,0,0,0
 10-12,0,36.82,83.6,0,10.76,61.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591.15,22.95,0,0,95.82,0,0,10.74,40.63,11.15,0,0,0,0,0,0
 14-21,0,0,0,11.97,2.01,4.17,0,0,0,2.89,0,0,0,0,0,0,0,0,14.01,0,0,7.8,126.66,2.06,1.19,0.98,3.37,0,1.47,12.51,0,7.6,40.99,0,0,0,0,0
 24-34,0,0,0.71,2.68,0,19.05,0,0,0.78,2.21,0,0,0,0.87,2.27,3.22,0,0,14.31,0,0.91,5.16,276.86,0,0,2.56,0,0,8.25,0,0,0.59,50.83,0,0,3.14,0,0
 36-46,0,0,0,15.01,0,32.03,0,0,2.07,5.31,2.11,0,0,0,0.62,0,3.76,0,8.22,0,1.06,5.2,138.45,0,0,0.61,0,0,2,0,0,0,22.78,0,0,8.04,0,0
 48-58,0,0,0,8.35,0,51,0.37,0,0,18.24,1.37,0,0,7.92,0,0,0.41,0.71,35.56,0,0,1.8,91.88,0,0,0,0,0,4.74,0,0,0,18.65,0,0,2.62,0,0
 60-70,0,0,0,0,0,67.86,0,0,1.47,31.49,0.63,0,0,0,0,0,0,0,30.74,0,0,3.09,64.96,1.83,0.63,0.69,0,0,0,0,0,0,31.9,0,3.47,1.17,0,2.86
 72-82,0,0,0,1.2,0,39.29,0,0,0,13.97,0,0,3.32,5.42,0.63,0,0.49,0,20.16,0,0,3.15,56.08,0.72,1.05,1.38,0,0,0,0,0,0,4.33,0.71,0,0.99,2.52,6.26
 84-94,0,0,0,7.6,0.57,43.67,0,0,0.61,20.51,0,0,1.18,0.61,0,0,0,0,17.43,0,0,3.97,41.64,0,0,0,0,0,2.51,0,2.8,0,0,0,0.71,9.09,0,0
 96-106,0,0,0,3.34,0,31.7,0,0.57,0.89,1.87,0.6,0,0.97,0,0,0,0,0,25.75,0,0,1.79,33.84,0,0,0,0,0,6.84,0,0,0,0,0,1.26,1.77,0,0
108-118,0,0,0,6.22,0,33.14,0,1.37,6.03,12.45,1.35,0,0.99,1.44,0.62,2.03,0.65,0,30.33,0.53,0,0.62,64.85,0,1.13,2.95,0,0,3.17,0,0,0,4.27,0,2.34,1.2,0.6,0
120,0,0,0,2.69,0,64.66,0,1.8,4.64,5.6,0,0,1.61,1.07,0,0,4.1,0,3.99,1.65,0,3.21,51.5,0,1.32,0,0,9.62,0,0,0,0,2.54,0,0,0,0,0
