stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,11.51,37.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,20.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.09,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.65,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.16,0,0,0,0,0,0,16.28,0,0,0,0,0,3.61,0,0,0,2.81,0,0,0,0,0
 24-34,0,0,0,0.59,5.81,0,0,0,0,0,0,14.47,0,0,0,8.16,1.12,17.09,0,4.31,8.47,0.73,3.46,1.46,0,0,0
 36-46,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,35.08,0,1.02,2.66,0,3.58,0,0,0.83,0
 48-58,0,0,0,0.43,1.64,0,2.8,4.09,0,1.02,0,1.85,1.68,0,0,1.33,0,71.36,0,0.87,3.84,0,0.45,0,0,0,0.53
 60-70,0,0,0,0,3.89,0,5.71,0,0,0,0,2.57,0,0,0,0,0,37.73,0,0,8.87,1.53,4.24,0,8.96,0,0
 72-82,0,0,0,0,5.21,0,1.56,0,0,2.63,0.6,0.66,1,0,6.86,1.84,0,51.83,0,0,13.52,0,0.99,0,6.44,0,0
 84-94,0,0,3.99,0,7.69,0,5.22,0,0.62,6.5,0.83,5.24,0,0,0,2.23,0,18.48,0,0,4.04,0,0.63,0,13.94,0,0
 96-106,0,0,0,0,4.6,0,1.81,0,5.56,7.88,0,1.57,0,6.49,1.48,8.07,0.94,48.92,0.97,0,11.67,6,0.92,0,3.22,0,0
108-118,0,0,2.26,0,5.37,0.61,0.93,0,0,5.43,0.54,3.24,0.78,0,3.55,5.29,0,12.75,0,0,23.55,1.33,0.46,0,7.95,0,0
120,0,0,0,0,6.22,0,9.62,0,0,1.47,0,6.91,2.53,0,0,3.25,0,0,0,0,6.93,3.36,3.24,0,9.06,1.66,0
