stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,immune,lateral.line,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,0,195.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.38,1012.99,6.55,0,0,0,0,0,0,0,0,0,52.14,0,6.9,7.85,0,0,0,0
  7-9,0,13.65,11.54,0,0,28.31,0,18.15,0,0,0,0,337.73,9.37,103.33,0,0,0,0,0
 10-12,0,0,0,0,0,10.9,0,0,0,0,0,0,187.71,0,79.96,0,0,20.49,0,0
 14-21,0,0,0,0,1.53,0,0,0,0,0,1.04,0,0,0,0,0,1,0,2.11,0
 24-34,0,0,0,0.62,0,0.68,0,0,0,0,0,0,2.18,0,0,0.75,0,0,1.06,0
 36-46,0,0,0,0,0,0.78,0,0,0,0,1.04,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,2.48,0.95,0,0,0,0.48,0.4,1.37,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
 72-82,0,0,0,0,0,0,0,0,0,0.56,0.58,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0.95,0,0.68,0.96,0,0,0,1.98,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0
