stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.83,0,0.96,0,0,0,0,0,0,0,0,0,0,1.27,7.07,0.84,14.48,0,0.87,1.57,0.92,0,3.77,0,0.9,0,0
 24-34,0,1.94,0,0,0,0,0,0.71,0,0,1.13,0,1.92,0,0,39.14,0.99,246.97,0.73,0,0,0,2.01,29.25,0,0,0,0
 36-46,0,17.96,0.58,3.42,0,0,0,0,0,0,0,0,3.23,0,0,47.69,0,294.94,1.34,0,0,0,0,16.38,0,0,0,0
 48-58,0,1.25,0,8.26,0,0,0,0,0,0,0,0,0.87,1.91,0,35.62,2.88,197.44,0,0,0.38,0,0,12.52,0,0,0,0
 60-70,0,0,0,5.09,3.28,0,0.6,8.22,0,0,0,0,0.6,0,0.97,45.08,0,263.32,0,0,9.37,0,0,1.39,0,0,0,0
 72-82,0,0.66,0,6.32,0,0,1.59,0,1.41,0,0,1.18,4.36,0,1.48,24.29,0,441.13,0.79,0,1.22,0,0,3.52,1.16,0.5,1.87,0
 84-94,1.29,0,0,3.57,0,0,0.57,0,0,0,0,0,6.35,0,0,14.08,0,390.58,0,0,4.33,0,0,5.97,3.5,0,2.3,2.54
 96-106,0,0,3.35,23.92,0,0,4.37,3.74,0,2.61,0,0,0,0,0,21.07,0,705.7,0,0,0,0,0,0,0.8,0,0,6.16
108-118,0,1.64,0,17.11,0,4.3,0,0.73,0,0,0,0,7.81,0,0,36.21,0,587.03,0,0,0.56,0,0,0,2.67,0,0,2.97
120,0,1.1,0,0,0,0,4.23,0,0,0,0,0,26.87,0,0,64.96,0,1041.54,0,0,0,0,7.18,0,0,0,0,0
