stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,83.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.55,60.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.68,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,6.05,0,0,0,0,0,0,0,0,1.79,0,0,0,0,0
 24-34,0,0,0,0,11.12,1.21,0,0,0,0,0,0,0,0,0,0,0,55.77,0,0,0.6,0,0,1.05,13.17,0,0,58.34,0,0,0,0,0,3.13,0,0,0,0,0
 36-46,0,0,0,0,2.28,0,0,0,0,0,0,0,0,0,0,0,0,8.32,0,0,0,0,0,1.29,4.66,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,6.98,1.36,0,0,0,0,0,0,0,0,121.86,0,0,2.51,0.5,0,0,14.33,0,0,35.28,0,0,2.18,0,0,3.67,0,0,0.44,0,0
 60-70,0,0,0,0,0,0,0,17.75,0,0,0,12.84,0,0,0,0,0,757.01,0,0,6.19,0,0,1.01,40.54,0,0.84,83.65,0,0,8.61,1.17,0,0.7,0,0,0.86,0,0
 72-82,0,0,0,0,19.94,4.69,0.53,97.14,0,1.55,0,12.62,2.79,1.42,2.84,0,1.32,1640.19,0,0,49.18,1.59,1.22,1.49,310.32,1.98,0.97,59.3,0,0,11.47,0,0,18.94,5.61,1.76,11.9,5.72,0
 84-94,0,0,0,0,9.5,7.34,0,107.41,0,0,5.75,9.51,0.64,2.43,0.67,1.49,0,3988.04,0,0.66,21.97,1.22,0,10.96,134.63,0,0,28.44,0,0,19.17,2.66,0,12.56,4.78,1.38,2.63,0,17.78
 96-106,0,0,2.49,0,32.66,41.31,38.51,215.97,0,16.11,2.3,49.59,18.43,0,6.47,3.56,9.15,5819.2,34.22,0,75.04,3.99,11.25,8.84,441.16,0.6,8.46,13.35,0,0,42.82,0,0.73,6.47,3.91,1.16,4.79,9.35,0
108-118,0,0,0,0,20.87,19.46,7.1,123.36,1.69,2.23,6.76,34.47,1.14,1.27,2.92,3.13,0.65,5041.73,10.56,0,52.21,1.09,7.98,1.3,269.91,1.35,2.41,24.36,0,4.45,32.36,0.7,0,9.87,0.7,1.17,9.64,1.83,0
120,0,0,0,0,13.23,10.35,3.41,48.76,0,2,0,30.3,5.78,0,22.08,0,0,2430.95,1.23,0,54.5,4.3,0,0,134.93,0,2,34.31,0,0,8.46,5.78,0,0,0,5.29,2.39,0,0
