stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature
 14-21,2.04,2.48,0,0,0,0,0,0,0,1.34,0,0,0,0.83,0
 24-34,0,0,0,0,0,0,0,0,0.65,59.06,4.12,0,0,1.52,1.71
 36-46,0,0,1.03,0,0,0,0,1.6,0,286.65,3.52,0,0,18.48,0
 48-58,0,0,12.92,0,3.73,0,0,4.78,0.42,332.7,0,0.54,0,16.84,0.44
 60-70,0,0,5.09,0,7.39,0,0,2.78,0,247.72,0,0,0,22.86,0
 72-82,0,0,36.6,0,34.16,7.01,0.65,3.82,0,278.18,0,0,0,16.45,0
 84-94,0,0,30.38,0,35.68,0,0,0.97,0,129.3,0.6,0,0,6.41,0
 96-106,0,0,18.87,0,13.07,2.51,0.57,0,0,242.5,2.81,1.16,1.2,3.54,0
108-118,0.93,0,38.29,0.5,35.98,0,0,6.95,0.48,233.21,2.86,0,0,1.8,0
120,3.18,0,31.49,0,33.33,0,0,6.96,0,231.8,0,0,0,7.86,0
