stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,120.27,9254.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.49,0,0,0,0,0,0,0,0,0,0
  5-6,143.65,15536.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.21,0,0,0,0,0,156.11,0,0,0,0,0,0,0,0,0,0
  7-9,17.67,450.45,0,38.72,0,0,2374.94,0,0,0,0,22.41,0,0,0,0,0,0,0,0,0,12754.86,53.47,0,0,894.56,0,14.34,3.79,0,0,0,0,0,0,0,0,0
 10-12,0,157.56,0,95.15,0,11.09,1503.15,0,0,0,0,4.59,0,0,0,0,0,0,0,0,0,5944.98,20.95,0,0,698.54,0,0,5.55,0,40.23,0,0,75.21,0,0,0,0
 14-21,0,0,0,10.32,44.93,6.14,125.18,0,0,419.11,10.07,4.18,0,0,0.91,0,0,3.25,67.21,0,59.32,1698.73,11.88,0,0,26.61,0,9.28,1.31,27.15,0,22.3,40.16,3271.11,0,0,0,1.24
 24-34,0,0,0,6.65,7.5,2.2,73.27,0,2.68,304.26,4.92,0,1.06,0,1,0,0,14.34,66.5,0,43.07,2963.91,2.14,1.3,0.62,0,0,1.79,0,0,0.64,1.94,16.86,2023.05,0,3.91,0,3.86
 36-46,0,0,0,0,9.91,0,46.94,0,0,88.29,0,0,0,0,0,0.57,0,8.48,81.55,1.07,21.04,2114.85,0,0,0,0,1.01,0,0,0,0,0,0,1184.22,0,0,0,4.27
 48-58,0,0,0,0,0.54,0,82.71,7.82,2.29,113.69,0,0.74,0.65,0,0,0.38,0.41,8.96,54.66,3.41,7.86,583.25,0,0,0,0,0,9.17,0,0,0,0,0,603.5,0,0,0,4.37
 60-70,0,0,0.89,0,0,0,36.06,0,2.07,21.45,0,0,0,0,0,1.01,0,2.31,57.57,0,7.84,144.48,0,1.1,0.62,0,0,0,0,0,0,0,0,105.06,0,0,0,0
 72-82,0,0,0,0,1.12,0,19.26,0,4.35,29.61,0,0,0,0,0,7.81,0,0,56.25,0,4.34,95.47,0,0,0,0,0,0,0,0,0,0,0,23.35,0.81,0,0,0
 84-94,0,0,0,0,0,0,22.03,0,2.01,20.34,0,0,0,0,0,13.78,0,2.16,34.05,5.18,3.45,67.49,0,0,0,0,0,3.74,0,0,0,0,0,28.37,0,0,0,3.65
 96-106,0,0,1.11,0,1.37,0,4.13,0,0.75,9.28,0,0,0,0,0,11.03,0,0.77,31.3,0,0,43.07,0,0,0,0,0,0,0,0,0,0,0,16.21,2.73,1.57,0,0
108-118,0,0,0,0,0,0,4.26,0,8.84,3.48,2,0,0,0.7,0,45.49,0,0,37.31,0,4.39,35.02,0,0,0.43,0,0.76,0,0,0,0,0,0,0.79,0,0,1.46,0
120,0,0,1.37,0,2.15,0,4.29,0,0,1.87,0,0,0,0,0,57.48,0,0,52.55,0,0,71.78,0,0,0,0,11.51,0,1.53,0,1.04,0,0,0,0,0,0,3.14
