stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,150.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.11,60.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0,0,0,0,0,0
  7-9,5.39,0,0,0,0,0,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.34,0,0,0,9.63,0,0,0,0,0,0,0,0
 10-12,0,10.17,0,6.26,0,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.86,13.66,0,0,0,7.72,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.45,1.05,1.19,0,0.87,0,0,0,0,1.08,0,0,0,0,0,0,0,7.83,1.05,0,0,0,1.31,0.8,0,2.87,2.61,0,0,0
 24-34,0,0,0,0,103.92,0,1.42,0,3.25,0.8,0,0,0,1.31,0,0,0,0,3.72,0,1.3,31.64,0,0,0,0,25.46,0,0.65,0,0,1.99,0,3.71
 36-46,0,0,0,0,181.59,1.13,5.73,0,9.28,0,4.89,0,0,0.78,0,0,0,0,1.1,0,0,18.64,0,0,0,0,33.98,0,0,0,0,3.81,0,0
 48-58,0,0,0,0,113.42,0.8,9.09,0.68,8.59,0.41,3.29,0,0,0,0.39,0,0,0,4.01,3.76,0,28.63,0,0,1.8,0,34.25,0,0,0,0,4.09,0,0
 60-70,0,0,0,0,159.79,0,3.49,0,6.16,0.59,4.3,1.69,3.3,0,0,0,0,6.35,4.24,9.06,2.38,27.75,0,0,0,5.14,25.73,0,0,0,0,6.59,0,0.59
 72-82,0,0,0.69,0,69.34,0,2.27,0,8.74,0,5.16,2.36,0,0,0,0.6,0,0,11.09,2.37,2.3,27.2,0,0,0,0,29.87,0,5.52,0,0,1.35,0,0
 84-94,0,0,0,0,175.73,0,2.43,0,8.88,0,1.75,2.07,0.65,0.55,0,0,6.05,0,5.99,6.19,2.19,17.07,0,0,0,0,43.25,0,0.74,0,0,0,0,0
 96-106,0,0,0,0,85.48,0,2.42,0,3.04,0,1.01,5.54,0,0,0,0,0,0,17.99,0.98,0,18.88,0,0.97,0.92,0,44.12,0,0.87,0,0,1.46,2.5,0
108-118,0,0,0,0,86.34,0,10.55,0,7.46,1.03,2.08,2.08,0.91,0,0,1.26,4.98,0,5.28,0,0,13.23,0,0,2.87,0,11.85,0,0,0,0,1.13,0,2.39
120,0,0,0,0,93.1,0,1.56,0,10.51,0,5.85,0,3.6,1.28,0,0,0,0,2.89,0,10.07,19.93,0,0,0,0,17.18,0,0,0,0,0,0,1.26
