stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,225.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.15,134.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,7.98,0,6.16,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.68,0,0,0,4.23,0,0,7.58,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,26.39,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85,0,4.4,2.78,0,0,0,0,0,0,0.9,1.22,0,0.82,7.87,0,0,0,0
 24-34,0,0,18.24,0,1.4,0,0.59,0,1.05,0,0,1.37,0,0,0,0,0,16.93,1.52,4.02,30.27,0,5.47,0.69,0,0,0,0,0,0,0,13.92,0,0,0,0
 36-46,0,0,5.34,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,21.92,0,9.39,74.23,0,1.25,2.64,0,0,0,0,0,0,0,14.29,0,0,0,0
 48-58,0,0,6.42,0,1.06,0,0,0,0,0,2.77,0.59,0,0,0,0.9,0,27.64,4.59,1.89,36.84,0,1.7,0,0,4.36,0,0,0,0,0,18.55,0,0,0,0
 60-70,0,0,5.54,0,22.45,0,1.42,0.62,1.89,0,0,0.81,0,0,0,0.72,2.74,78.5,4.45,2.51,109.4,0,0,0,0,0,0,0,0,0,0,16.78,0,2.54,0,0
 72-82,0,0,5.6,0,73.44,0,1.07,0,2.78,0,0,1.4,1.84,0.53,0,0,0,180.77,24.49,3.72,123.75,0,1.02,0,0,3.54,2.29,0,0,0,0,21.07,0,12.14,3.72,6.64
 84-94,0,0,0,5.59,40.92,0,0.63,2.17,1.92,0.82,0,6.04,0,0,0,0,0,163.36,13.78,4.52,123.57,2.76,0,0,0,2.02,0.62,0,0,0,0,22.49,0,7.86,0,7.1
 96-106,0,0,2.88,0,49.73,0.76,0,1.08,8.51,3.9,0,5.86,0,0,7.73,3.16,0,183.13,20.99,10.3,131.78,0,0,3.4,0,6.06,3.11,0,0,1.33,0,20.48,0,5.51,5.54,11.5
108-118,0,0,10.44,0,32.58,0,8.97,0.64,4.73,11.81,0,4.36,0,0,2.34,0.49,0,304.04,10.66,5.49,144.26,4.73,0,0,0,6.53,2.54,0,0,0,0,18.59,0.44,9.81,0,7.94
120,0,0,3.16,0,70.24,0,26.52,0,20.01,0,0,4.81,0,0,0,3.42,0,171.22,50.11,6.14,220.94,0,0,0,0,7.36,7.67,0,0,0,0,66.59,3.57,5.92,0,0
