stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,2.72,0,2.71,0,0,0,0,6.55,0,0,0,0,0,0,0,0,11.79,0,0,0,80.86,0,0,1.29,12.29,0,0,17.75,45.37,0,3.73,1.05,0,0,0,0,0
 24-34,0,0,0,1.53,0,0,9.34,0,0,0,0.66,0,0,1.53,0,0,0,0,0.65,0,2.14,1.24,0,1.47,206.77,0,1002.16,0,0,0,0.85,0,8.47,0,0.84,25.51,0,0,0,0,0
 36-46,0,0,0,0,0,0,19.6,0,0,1.09,1.76,0,0,1.05,0,0,0,0,0,0,5.39,0,0,0,567.33,0,1222.04,0,0,0,1.16,0.86,2.47,0,0,151.42,0,0,0,0,0
 48-58,0,0,0,6.08,0,0,458.78,1.02,0,0.56,34.35,0,0,4.59,1.77,0,10.89,0,0,0,24.8,0,4.62,1.12,1824.1,1.42,2654.67,0,0,0,3.09,0,0,0.4,0,302.49,0,0,9.68,0,12.36
 60-70,0,0,0,101.68,0,0,2870.3,1.62,2.75,0.84,53.41,8.22,0,0,4.62,2.48,11.26,1.16,0.72,0,67.71,0,0,0.88,6378.32,0,1472.28,6.8,0,0,35.64,0,3.63,0,0,205.05,242.14,1.22,20.72,0,7.69
 72-82,0,0.88,0.75,207.36,37.02,1.92,7592.01,10.39,20.14,18.73,221.45,20.29,0.5,1.93,12.82,0.63,18.22,5.26,101.89,10.35,225.67,4.51,4.35,17.24,10266,1.47,4012.81,7.67,0,0,52.92,0,8.76,0,0,317.05,2622.16,2.19,51.6,20.44,82.76
 84-94,0,2.86,0,269.35,55.98,0,5531.57,2.1,7.57,24.13,182.94,135.22,0,1.27,2.39,2.72,4.42,2.15,12.93,17.23,188.23,21.5,5.34,7.1,8719.16,0.66,4688.7,1.36,0,14.99,79.79,0,4.53,0,0,315.77,7773.32,1.8,18.25,2.25,15.54
 96-106,1.12,1.23,0,368.06,117.66,2.21,3802.22,3.38,6.08,5.07,255.88,217.57,0,3.87,11.24,33.22,3.56,17.79,50.47,3.66,262.71,1.45,4.84,8.02,5601.35,2.28,5432.15,2.61,0,1.11,100.18,0,3.71,0,0,112.62,10567.72,10.4,58.52,14.37,49.23
108-118,0,1.5,0,275.71,79.87,5.81,4970.24,2.25,10.52,2.49,314.61,111.7,0,2.37,8.12,1.03,4.52,1.43,22.76,0,196.72,54.63,13.38,11.22,9774.94,0,3399.75,14.38,0,3.06,19.25,0,0,0,0,134.47,7873.37,5.52,16.82,27.61,15.87
120,0,0,0,210.49,26.2,0,4884.41,37.89,14.63,0,694.64,236.81,5.2,0,15.33,6.27,152.89,0,27.39,0,174.26,0,1.41,28.13,13489.29,1.25,2904.21,5.3,0,0,33.9,0,26.32,0,0,174.02,4193.69,0,0,5.91,19.25
