stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,gut,heart,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,pronephros
  5-6,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.04,0,0,0,0,0,0,0,0,0,0,0,5.96,0,0,0,0
 10-12,0,11.41,0,0,0,0,0,0,0,0,0,0,0,18.81,0,6.02,0,6.86
 14-21,0,0,102.97,10.74,0,0,8.79,0,1.16,0,35.78,0,7.16,13.03,0,7.52,0,0
 24-34,0,2.51,24.47,6.97,0,0,4.74,3.31,0,0,134.96,0,23.07,33.37,0,0,3.42,0
 36-46,0,0,6.38,0,0,0,0.72,0.95,0,0.83,22.84,0,6.44,2.32,0.91,0,0,0
 48-58,0,0,0.38,0,2.65,0.65,0,0,0,1.61,7.17,0,1.2,3.47,1.17,0,0,0
 60-70,0,0,0,0,2.29,0,3.57,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,6.32,1.27,1.27,0,0,0,0
 96-106,0,0,0,0,1.76,0,0.6,0,0,0,5.89,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,3.48,0,0,0,0,0,0,0
