stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,0,24.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0
  5-6,0,37.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.92,0,0,0,8.68,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.95,0,0,0,3.62,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0,0.84,0,0,0,0,1.96,2.66,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,2.27,0,1.22,0,0,7.91,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.61,0,3.68,0,0,0,0,0,0,0,1.09,2.25,0,4.06,0,0,0,0,25.31,0,2.95,2.71,0,0,0
 48-58,0,0,0,0,0,0,0,2.54,0,1.33,0,0.53,0,0,0,0,0,0,0.57,0,1.35,0,0,0,0,32.03,0,26.65,0,0,0,0
 60-70,0,0,0,0,1.36,0,0,1.49,0,0.66,0,0,0,0,0,0,0,0,1.14,0,2.42,1.09,0,0,0,17.24,0,21.24,0,0,0,0
 72-82,0,0,0,0,0.63,6.66,0,7.06,0,2.99,0,43.92,0,0,0,0,0,0,4.68,0,19.82,0,0,0,0,18.14,0,82.89,0,0,1.34,0
 84-94,0,0,0.84,0,0,0,0,4.71,0,5.74,0,48.09,0,0,0,0.61,6.69,0,3.12,0.75,2.76,0,0,0,0,25.61,0,174.23,0,0,0,0
 96-106,0,0,2.78,6.84,0.93,0,0,27.19,0,20.08,0,333.27,0.56,1.18,5.43,0,5.25,0,22.96,0,37.89,0,0,1.74,0,20.75,0,337.73,0,3.06,0,1.4
108-118,0,0,0,10.67,0.98,8.64,0,32.07,0,13.06,3.33,611.39,0,0,0,0,7.26,0,7.88,1.15,19.7,0,0,0,0,10.59,0,335.69,6.41,0,0.86,0
120,4.73,0,0,8.82,0,15.28,2.35,1.29,5.8,6.9,29.88,505.11,0,0,0,0,16.5,0,29.64,1.74,44.5,0,0,0,0,6.19,0,154.54,0,0,5.76,8.45
