stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,6.23,2.68,0,0,0,0,0.88,0,0,0,0,0,0,0,3.35,0,0,10.22,2.34,0,0,4.54,0,30.26,1.3,1.94,0.95,0,3.92,0,0
 24-34,0,0,0,0,0,0,0,0,0.67,4.25,0,0.72,0,0,0,0,0,0.63,26.79,0,6.73,1.36,0,0.78,0,0,0.66,3.31,0,16.22,0,0
 36-46,0,0,0,0,0.69,0,0,1.99,0,0,0.56,0,1.32,0,0,1.92,0,0,24.71,0,9.14,0,0,20.69,0,0,0,3.55,0,16.67,0,1.28
 48-58,0,0,0,0,16.44,0,0,77.29,0,0.6,4.27,0,0,0,0,3.79,0,0,63.21,0,5.07,3.67,0,3.14,0,0,0,8.56,0,11.44,0,1.99
 60-70,0,0,0,0,11.34,0,0,445.05,0,0.84,5.18,0,2.4,0,15.48,10.54,0,0,114.05,0,3.09,12.55,0,1.55,0,0,0,0,0,12.72,0,5.04
 72-82,0.86,1.39,0,0,19,0,0,1107.18,0,2.75,27.23,0,3.41,0.65,0,18.29,0,0,111.09,0,1.28,24.11,0,0,0,0,0,0.92,1.89,13.61,1.27,1.8
 84-94,0,4.88,0,0,31.83,0,0,755.18,0,0,2.67,0,1.26,1.82,0,18.98,3.24,1.44,60.63,0,1.72,16.39,0,0.99,0,0,0,0,0,27,0,0.61
 96-106,0,12.12,3.95,0,42.3,7.95,3.35,1706.73,2.22,1.83,6.48,0,0,0,0.8,17.61,3.71,0,102.22,0,0,37,0,4.01,0,0,0,0,0,40.5,1.53,3.16
108-118,0,0.58,0,9.38,39.22,0,6.46,1905.48,0.43,0,8.92,0.51,5.54,0,0,23.63,0,1.45,75.85,0,0,40.7,0,1.8,0,0,0,0,0,26.45,0,1.78
120,0,1.39,3.68,0,53.19,0,9.65,2419.12,0,4.91,11.47,0,0,0,0,37.29,0,0,123.14,0,0,7.35,0,0,0,0,0,0,4.4,53.92,0,0
