stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,48.47,167.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,158.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,9.15,12.09,0,0,0,0,0,0,0,0,0
  7-9,0,10.52,14.85,0,0,0,33.01,0,0,0,12.58,0,0,0,0,0,0,0,0,215.04,0,0,0,85.49,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,11.43,0,4.74,0,21.22,0,0,0,0,0,0,0,0,0,0,0,0,153.99,9.4,0,0,98.28,0,0,4.64,5.05,0,0,0,0,0,0
 14-21,0,0,0,4.63,4.62,0,5.31,0,0.91,0,0,0,0,0,0,0,2,0,1.58,70.42,4.29,0,0.94,0.98,8.32,7.86,1.32,4.23,28.31,0,0,0,0,0
 24-34,0,0,0,4.01,0,0,29.62,0.85,0.7,0,0,0,0,0,0,0.65,10.37,0,5.52,147.74,0.81,0,3.52,0,5.08,0,1.93,0,29.08,0,0,0,0,0
 36-46,0,0,0,34.62,0,0,29.89,0.74,3.86,0,0,2.59,0,0,3.76,0,6.79,0,0.61,106.11,0.72,0,1.03,0,5.42,0,0,0,23.91,0,0,1.73,0,0
 48-58,0,0,0,3.67,2.45,0,42.62,0,2.87,0.89,0,0,0,0,0,0,16.92,1.82,3.07,66.72,0.65,1.25,0.39,0,2.88,0,0,0,7.68,0,0,0,0,4.03
 60-70,0,0,0,6.67,0,0,22.91,0,1.95,0,0,0,0,0,0,0,6.91,1.19,3.43,39.8,0,1.27,0,0,5.79,0,0,0,5.49,0,0,0,0,0
 72-82,0,0,0,2.23,0,0,20.17,0,4.37,4.85,0,0,0.7,0.93,0,0,10.82,0.72,0,21.91,0,0,0,0,0.55,0,0,0,0,0,0.78,1.04,0.67,0
 84-94,0,0,0,2.01,1.12,0,8.93,0.78,15.96,0.73,0.66,0.74,0,0,0,0,4.06,0,1.96,15.28,0,0,0,0,7.9,0,1.35,0,6.73,0,3.21,0,0,0
 96-106,0,0,0,1.2,0,0,9.42,0,8.08,1.18,0,0.58,0,0,0,0,3.99,0,0,51.79,0,0,0,0,5.13,0,0,0,0,0.67,0,0,0,0
108-118,0,0,0,4.19,1.09,1.27,18.16,0,5.01,4.35,0,2.63,0,0,0,0,4.31,0,0,11.52,0,0,0.89,0,4.52,0,0.52,0,0.7,0,0,0.5,0,1.85
120,0,0,0,6.56,3.03,0,23.79,1.35,13.7,1.39,0,1.69,0,0,0,1.5,10.19,0,0,38.82,0,0,0,0,0,0,0,0,0,0,0,11.24,1.59,0
