stage,axial,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,24.75,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.29,1.25,0,0,0,0,0,0,0,0,0,0,0,0,36.64,3.33,0,1.7,0,4.34,197.31,0,0,0,0
 24-34,0,0.66,0.91,2.45,0,1.01,0,0,0,0,0,2.49,0,3.17,0,0.93,28.16,3.15,3.12,10.58,0,0,72.49,0,0,0,0
 36-46,0,0,0,1.97,0,3.37,0,0,0,0,0,0.66,0,0.55,0,0,29.8,0,0,7.67,0,0,40.24,0,0,0,0
 48-58,0,0,1.29,1.42,0,0.68,0,0,0,0,4.8,1.41,0,1.43,0,0,15.7,0,0.6,21.63,0,0,36.16,0,1.5,0,0
 60-70,0,0,0,7.4,2.4,3.57,0,0,0,0,0,2.29,0,4.45,0,0,22.82,0,1.08,3.56,0,0,30.39,0,10.09,0,0
 72-82,0,0,0,4.67,0,0,6.62,0,1.95,0,0,3.4,0,9.45,0,0.57,27.02,0,0,27.78,0,0,34.12,0,3.31,0,0
 84-94,0,0,2.48,5.36,0,2.51,9.78,0,0,0,0,10.1,0,13.43,0,0.57,32.86,0,1.47,28.73,0,0,25.88,0.6,2.92,2.06,0
 96-106,0,0,0,16.61,1.14,20.4,17.37,0,0,0,0,6.76,0,4.47,0.83,1.06,8.96,0,3.09,60.98,0,0,29.32,0,8.85,1.94,0
108-118,0,0,3.61,9.61,1.27,2.6,25.43,0,0,1.23,0,7.45,4.66,10.3,0,0,16.23,0,4.99,24.35,1.63,0,21.78,0,2.2,0,0.85
120,1.12,5.53,0,6.74,0,1.34,29.38,0,0,7.01,0,4.64,0,5.78,1.15,0,12.48,0,17.28,37.03,16.5,0,58.35,0,2.41,0,0
