stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,19.28,0,0,3.83,0,0,0
 14-21,30.79,0,0,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0.9,0,0
 24-34,42.91,0.83,0,3.06,0,0,0,0,3.11,0,0,0,0,5.65,0,0,0,5.67,3.79,0
 36-46,43.25,0,0,8.14,0,0,0,0,0,0,0,0,0,7.54,0,0,0,3.79,2.24,0
 48-58,33.07,3.46,0,25.85,0,0,0,0,0,0,0.52,0,0,10.84,0,0.64,0,8.95,0.88,0
 60-70,43.1,0.65,0,25.67,0,0,0,0,0,2.9,0,2.08,0,9.89,1.08,0,0,3.55,0,0
 72-82,32.01,0.85,0.59,8.26,0,0,0,1.06,0,0,0.71,0.63,0.5,1.52,0.58,2.75,0,5.92,0,0
 84-94,48,10.35,0,34.26,0,2.06,0,0,0,3.8,0.68,0,0,0,0.56,0,0,27.24,0,0.75
 96-106,62.38,0,0,25.27,0,0,1.71,3.8,0,2.19,0,0,0,14.79,0.97,0,0,31.48,0,0
108-118,89.16,4.22,0,26.35,1.64,0,1.71,0,1.66,16.76,0.75,0,0.51,4.91,0.49,0,0,29.37,0,1.53
120,99.68,0,0,20.05,0,3.25,0,0,0,19.53,0,0,0,15.63,0,0,0,16.46,0,14.92
