stage,erythrocytes,eye,neural,paraxial.mesoderm,periderm,spinal.cord
  7-9,0,0,0,3.55,0,0
 14-21,0.92,0,0,0,0,0
 24-34,0,0,1.38,0,0,1.28
 36-46,0,3.1,3.64,0,0,1.99
 48-58,0,1,0.46,0,0,0.71
 60-70,0,0.76,0.84,0,0,0
 72-82,0,0,0,0,1.89,0
 96-106,0,1.03,0,0,0,0
