stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,86.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26,0,0,16.96,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,64.57,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.64,7.65,0,0,0,0,0,11.7,0,0,0,0,0,0
 14-21,0,0,0,4.42,76.65,0,2.78,0,2.23,0,0,0,2.61,1.66,0,0,0,0,0,0,2,0,7.04,63.69,2.06,0,0,1.11,0,0.95,0,1.08,15.76,0,0.89,0,0
 24-34,0,0,1.41,1.42,1.6,0,4.87,0,0,0,2.94,0,0,1.17,0,0.68,0,0,0,0,0,0,0,64.05,0,0,0,0,0,0,0,0,4.47,0,3.05,0,0
 36-46,0,0,0,0,0,0,2.93,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,1.02,175.47,0,0,0,0,1.61,0,0,0,2.24,0,0,0,0.7
 48-58,0,0,0,0,0,0,4.37,0,0,0,10.39,0,0,0,0,0,0,0,0,0,4.7,0,1.3,332.71,0,0,0,0,0,0,0,0,4.05,0,0,0,0
 60-70,0,0,0,0,0,0,105.09,0,0,2.76,5.63,769.11,0,0,0,0,0,0,0,0,16.72,0,0.9,837.84,0,0,0,0,0,0,0,0,7.79,0,0,0,0
 72-82,0,0,0,7.09,0.53,0,92.32,0,0,0.87,6.74,1786.95,0,0,0,0.53,0,0,0,0,32.74,0,0,1698.55,0,0,0,0,4.18,0,0,0,1.59,0.49,0,0,0
 84-94,0,68.6,0,31.63,0,0,139.02,0,0,0.59,0,2127.9,0,0.82,0,0,0,58.07,0.67,3.66,1.53,0,1.13,1310.56,0,0,3.27,0,4.01,0,0,0,12.2,0,1.25,0,0
 96-106,0,0,0,15.19,4.4,0.94,132.51,14.98,0,0,16.05,3615.81,0,0,0,0.86,0,0,91.61,1.3,16.68,0,0,1264.62,3.63,0,0,0,5.07,0,0,0,3.84,0,0,0,2.2
108-118,0,0,0,5.46,1.46,0,56.54,0,0,0,20.44,2604.86,0,0,0,0,1.95,0,73.8,7.11,18.64,1.58,0,1016.54,0,0,0,0,1.16,0,0,0,0,0,0.81,1.09,0
120,0,0,0,1.89,5.34,0,73.94,0,0,0,27.65,2841.42,0,0,3.21,0,0,0,3.5,0,5.18,0,0,2417.98,0,4.78,0,0,0,0,0,0,9.45,0,0,0,0
