stage,eye,fin_mesenchyme,heart,mesenchyme,muscle,vasculature
 24-34,0,0,0,0,0,4.39
 36-46,0,5.69,6.2,0,0.58,2.08
 48-58,0,6.87,0,0,0,1.86
 60-70,1.99,3.5,0,1.74,0,0
 72-82,0,1.76,0,0,0.92,4.22
 96-106,0,1.54,0,0.57,0,1.85
108-118,0,4.07,0,0,0,4.25
120,0,1.49,0,0,0,21.61
