stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,128.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,65.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.21,0,4.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.72,5.8,0,0,12.6,0,0,0,0,72.56,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.71,0.81,0,2.88,0,0,0,0,0.85,0.84,0,0,0,0,0,0,82.46,0,0,29.12,18.56,0,3.09,0,0,0,9.12,1.23,1.13,0,47.31,10.88,22.2,0,0,9.22,0,0
 24-34,0.88,0,0,0,0,0,0,8.13,0,9.1,0.64,0,0,2.66,0,4.21,0,0,0,0,114.36,0,0,20.53,149.15,0,16.86,0,0,0.99,18.22,0,0,0,1.9,0.71,67.93,0,0,123.6,0,0
 36-46,0,0,0,0,0,0,0,91.81,0,0.93,4.14,3.85,0,4.92,0.81,0.56,0,0,0,0,157.95,0,0,13.99,343.74,0,16.14,1.18,0,1.69,50.95,0,2.07,0,0,0,144.2,0,0,82.36,0,0
 48-58,0,0,0.44,0,0,2.7,0,556.27,0,1.3,6.62,24.84,0,8.81,0.53,0.66,0,0.71,0,0,173.59,0,0.4,14.84,600.17,0,7.51,0,0,0.61,45.16,0,0,0,0,0,100.38,0,0,109.97,0.9,0.54
 60-70,0,0,0,0,10.65,0,0,2230.16,0,1.03,12.63,27.55,0,17.27,3.18,1.11,0,0,0,0,172.38,0,11.56,20.95,1240.89,0,21.71,0,0,4.2,68.2,0,5.3,1.35,0,0,131.67,0,1.94,120.94,0,0
 72-82,0,0,1.36,0.56,8.75,4.66,0,3448.3,0,3.91,17.66,64.25,0.65,13.56,4.42,2.08,3.82,2.1,0,2.66,240.05,3.05,4.98,19.47,1469.29,0,7.88,2.44,0,0.71,39.51,0,0,0,0,0,93.01,0.82,6.77,185.85,4.18,3.67
 84-94,0,0,0,0,25.63,6.01,4.31,2019.17,0,0.6,17.71,51.38,0.87,5.45,5.03,12.51,2.22,0,0,2.28,188.41,0,19.42,10.19,835.69,0,11.5,6.58,0,5.11,64.21,0,0,0,0,0,95.98,0,4.05,163.64,1.16,4.24
 96-106,0,0,3.2,0,31.57,1.92,1.61,2237.52,0.9,0,8.91,69.45,1.06,18.43,5.64,9.23,4.59,3.63,10.12,0,209.55,1.73,4.43,11.01,794.42,0,14.85,3.3,0,15.38,137.18,0,0,1.21,0.64,0,21.02,0.59,3.14,280.75,5.18,0
108-118,0,0,0,0,24.06,2.21,9.13,1810.93,0,2.22,11.77,73.52,1.49,10.2,4.78,20.12,3.25,3.62,3.64,1.42,243.58,1.99,18.9,10.14,1114.93,0.47,11.06,2.54,0,30.04,189.11,0,0,0.56,0,0,19.76,2.39,5.78,236.39,6.93,0
120,0,0,0,0,78,0,3.4,874.65,0,4.06,3.34,95.24,3.65,15.92,19.15,5.45,16.66,3.84,39.22,0,128.18,1.04,28.42,9.24,1177.41,0,6.93,6.42,0,18.73,174.43,0,0,1.02,0,0,27.82,0,13.85,277.64,3.36,0
