stage,epidermis,eye,fin_mesenchyme,glial,ionocyte,mesenchyme,muscle,neural,otic,periderm,spinal_cord,xanthophores
  7-9,0,0,0,0,0,0,0,6.96,0,0,0,0
 10-12,0,0,0,0,0,0,0,27.13,0,0,0,0
 14-21,1.18,0,0,0,0,0,0,2.54,24.18,0,0,0
 24-34,0.85,0,0,0,0,0.72,0,1.2,1.97,0,1.24,0
 36-46,0,0,0,0,0,7.93,1.2,0,0.82,0.67,3.41,0
 48-58,0,5.01,0.48,3.19,0,17.86,3.2,5.34,0,1.64,3.24,0
 60-70,4.84,0,0,22.91,0,29.21,1.87,0.6,3.98,0,3.78,0
 72-82,0,3.74,0,124.16,0,41.68,0,7.27,4.14,0,0.93,0
 84-94,4.46,0,0,107.34,0,16.12,0.57,3.42,0,0,0,0.64
 96-106,5.22,8.37,0,294.38,0,21.03,0,4.05,1.94,0,0,0
108-118,4.86,1.37,0,325.85,0,32.62,0,15.59,9.65,0,0,0
120,2.08,1.56,0,331.81,1.01,14.25,0,20.82,0,0,0,0
