stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,0,3.29,0,0,0,0,0,0,0,0,0
 14-21,0,1.75,0,0,0.8,0,0,0,0,0,1.19,0,0,0.81,0,0,0,0,0,0,0,9.79,0,0,0.88,1.12,7.23,0.86,0,0,0,0,0,0.96,0,0
 24-34,0,2.9,0,0,7.86,0,0,0,2.32,1.88,0.66,0,0,0,0,0.94,0,1.84,1.35,0,0,38.51,0,2.8,1.35,0,16.03,2.18,0,1.27,14.86,0,0,2.23,0,0
 36-46,0,0.95,6.7,0,2.99,0,0,0,0,0,0,0,0,10.86,1.51,0,1.96,1.02,0.77,0,0,51.11,0,0,1.77,0,9.16,4.82,0,0,4.04,0,0,0,0,0
 48-58,0,0.53,2.2,0,4.18,0.88,0,0,5.68,0,2.68,0,0,3.23,0.43,0,0,2.17,0,0,1.12,8.64,5.15,1.66,0.92,0,5.93,2.54,0,0,3.09,0,0,0,0,0
 60-70,0,0,1.7,0,20.28,0,0,0,3.19,0,0,0,0,7.85,2.61,3.74,0,0.82,0.63,0,0,1.2,0,1.48,2.7,0,12.35,0.68,0,0,1.38,0,0,0,0,2.91
 72-82,1.72,0.55,7.58,0.76,39.24,0,0.81,0,5.34,2.28,0.5,1.12,0.59,0.83,1.8,0,0,2.83,0.52,0,1.19,33.64,0,6.32,3.53,0,15.05,0,1.81,0,3.83,1.98,0,2.32,0,2.27
 84-94,4.33,2.81,55.51,0,61.18,0,0.57,0,11.56,1.76,0.7,0,4.03,7.62,4.69,0,0,7.48,5.16,4.79,0,26.59,0,2.43,8.91,0,37.03,3.04,0,0,2.75,3.84,0,3.96,0,0
 96-106,0,15,29.34,1.66,73.07,0,0,2.33,3.48,13.03,0,0,2.73,4.13,6.09,0,0,19.86,8.12,0.8,0,45.42,0,3.36,19.4,0,46.45,2.23,0,0,1.39,5.63,0.76,2.5,0,0
108-118,0,8.81,17.48,7.58,50.18,0,2.12,0,8.56,10.16,2.74,0.78,3.72,6.98,4.45,1.1,1.13,4.6,3.93,0,0.47,29.64,0.53,0,11.05,0,28.02,1.1,0,0,4.5,2.33,0,1.13,0,1.68
120,0,7.26,10,0,72.61,0,0,0,2.04,13.68,0,0,8.46,3.24,2.66,0,0,24.68,3.49,0,0,26.29,0,12.94,3.96,0,34.39,0,0,0,0,0,0,0,2.97,0
