stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.43,0,0,0,0,0,0,0,0
  5-6,0,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.57,0,0,0,0,0,24.43,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.57,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.69,0,0,0,0,0,5.64,0,0,13.43,0,0,0,0,0
 24-34,0,0,0.66,0,0,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0.9,2.02,0,0,0.86,412.43,0,8.88,0,0,0,0.95,0.66,0,103.66,0,0,0,0,0
 36-46,0,0,0,0,0.91,0,0,21.86,0,0,0,3.11,0,0,0,0,0,0,0,0,4.46,0,1.26,0.78,793.2,0,2.2,0,0,0,2.03,0.6,0,131.49,0,0,0,0,1.41
 48-58,0,0,0,0,9.25,0,0,127.84,0.7,0,0.42,29.65,0,0.38,0,0,4.71,0,0,0,7.85,1.69,0.49,2.94,1684.97,1,2.29,0,0,0,7.95,0,0,209.09,0,0,4.52,0,4.81
 60-70,0,0,0,0,6.82,0,0,335.53,0.59,0,0,71.11,0.62,0,0,1.75,6.34,0,0,0.95,18.75,0,0,0.9,2630.39,0.71,5.37,0,0,0,5.32,0,1.01,172.15,0,0,6.65,0,0
 72-82,0,0,0.98,0,5.53,3.61,0,761.7,0,0,1.75,318.32,2.42,0,0.73,9.55,26.28,0,0,7.34,38.89,0,0.54,0.51,2920.76,0.91,4.28,2.27,0,1.77,13.61,0,1.81,140.88,0,2.51,10.2,1.25,8.97
 84-94,0,0,0,0,11.17,1.52,0,591.3,0,1.85,0.89,277.25,1.93,0.7,2.07,12.66,7.19,0.69,0,0.72,27.19,0.58,2.23,2.14,1852.63,5.19,12.92,3.73,0,1.31,16.36,0,0,112.57,0.66,0,2.25,4.95,0
 96-106,2.68,0,2.23,0,18.73,5.42,0,693.37,0.87,0,1.54,298.72,6.47,0,2.72,21.11,2.26,0.63,0,0,38.98,3.31,0.93,0,1670.52,0.65,6.36,7.08,0,2.9,54.46,0,0,55.29,2.55,0,5.12,4.6,12.96
108-118,0,0,1.61,0,25.2,3.15,0.53,761.65,0,1.63,0,399,0.43,0,0,32.64,7.24,2.04,2.95,1.99,47.06,0.91,0,0.7,1920.74,4.4,4.36,2.57,0,1.84,32.99,0,0,44.11,3.88,2.33,5.77,0.65,0
120,2.82,0,0,1.28,51.6,0,0,675.9,0,2.26,0,396.91,0,7.31,0,49.74,12.91,1.88,8.88,0,35.84,1.56,0,10.29,3561.23,4.45,25.71,1.47,10.96,0,32.87,0,0,82.69,19.11,18.73,0,0,0
