stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,taste,visceral_smooth_muscle
  3-4,0,603.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.6,0,0,0,0
  5-6,22.74,295.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.65,0,0,0,0,0
  7-9,0,6,0,0,0,0,0,0,0,0,10.97,0,0,0,0,0,0,0,0,39.13,11.2,0,0,12.96,0,4.3,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,0,0,0,6.19,0,0,0,0,0
 14-21,0,0,0,1.91,17.33,0,0,0,0,0,0,0,0.8,0,0,0,0.95,0,0,3.12,0,0,0,0,25.41,0,0.94,0,0
 24-34,0,0,0,0.74,6.53,1.15,3.59,0,0,0,0,0,1.21,0,0.61,3.34,1.34,0,0,9.93,0,2.76,0.64,0,15.54,0,2.53,0,0
 36-46,0,0,0,0,6.44,2.43,7.78,0,0,0,0,0,0.86,0,0,0.89,3.46,0,0,17.94,0,0,3.52,0,32.75,0,0,0,0
 48-58,0,0,0,0,5.62,0.53,1.78,0,0.46,0,0,0,0.39,0,0,0,4.44,0,0,13.96,0,0,1.5,0,33.51,0,2.07,0,0
 60-70,0,0,0,0,2,0,4.39,0,9.55,1.36,0,0,0,0.63,0,0.81,6.46,0,0,16.69,0,0,2.68,0,12.16,0,0.67,0,0
 72-82,0,0,0,0,12.43,2.63,0,0,2.21,1.21,0,0.55,0.63,1.78,0,7.86,3.71,0,0,6.7,0,0,2.71,0,7.27,0,0,0.5,0.71
 84-94,0,0,0.66,0,7.22,2.46,0.58,0,2.31,7.67,0,0,0.6,0,6.31,3.08,8.71,0,1.66,20.67,0,0,0,0,20.12,0,0,0.66,0
 96-106,0,0,0,0,10.33,2.22,0,0,1.54,11.41,0,0,0.85,1.52,0,2.9,0.81,0,0,15.55,0,7.22,0.92,0,30.3,0,0,1.98,0
108-118,0,0,0,0,11.61,1.04,5.3,0.73,2,4.85,0,0,2.74,1.87,0,2.86,16.96,2.16,0,8.7,0,2.06,2.99,0,15.73,0,0,1.71,0
120,0,0,0,0,9.28,0,0,0,0,7.13,0,0,0,1.11,0,0,12.93,0,0,0,0,0,3.72,0,3.57,0,0,0,0
