stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,124.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.48,45.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,22.29,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,8.14,0,0,0,0,0,3.37,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.49,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,106.77,15.15,0,0,25.35,0,3.81,0,0,0,0,0,5.32,0,0,0,0,0
 14-21,0,0,2.43,12.21,1.08,0,3.23,0,0,0,0.93,0,0,1.52,0,8.34,0,0,0,1.65,1.95,0,0,0,52.28,4.34,3.32,0,1.89,0,4.3,0,2.12,0,0,2.79,21.63,0,0,0.82,0,0.85
 24-34,0,0,2.71,12.93,6.3,0,32.43,0.68,2.05,0.68,5.24,0,0,2.98,0,0.99,0,0.61,0,10.51,23.03,0,0,14.23,512.3,1.37,22.36,3.14,0,0,9.76,0,0,0,0,1.89,113.48,0,0,17.39,0,1.38
 36-46,0,0,0,20.91,0,0,288.11,0,0,4.94,43.3,0.58,0,6.33,0,7.73,0.83,0,0,39.05,55.38,1.68,0,13.37,1344.86,6.55,27.46,0.72,0,0.97,13.97,0,0,0,0,0,263.91,0,2.46,43.75,0,21.75
 48-58,0,0,0.46,15.62,2.38,0,850.71,0,3.43,20.02,92.73,0,0.75,2.17,0,13.93,0,0,6.37,45.41,99.26,2.28,2.85,33.81,1718.08,16.49,19.19,2.91,0,0.39,23.61,0,0,2.28,0,0,300.89,0,1.28,28.97,0,56.41
 60-70,0,0,0,22.35,0.71,0,1456.37,4.83,2.44,26.57,222.02,2.2,1.71,6.75,2.81,4.18,16.42,6.31,10.27,16.34,212.31,0,10.03,11.43,1968.84,0,23.08,5.76,0,2.69,23.71,0,0,15.34,2.99,0,327.67,0,4.63,28.62,0.64,48.6
 72-82,0,0,5.78,10.07,20.19,1.86,1533.02,2.56,4.12,29.05,266.11,8.54,1.04,6.48,2.76,1.73,18.6,3.21,0.97,10.45,267.41,0,16.78,13.53,1579.17,0.53,18.27,12.46,0,2.36,13.75,0,0,1.99,0,0,198.14,0,8.33,46.29,3.02,59.73
 84-94,0.62,0,3.67,17.55,3.41,0,941.43,12.76,6.2,12.39,278.76,15.31,0,5.6,5.22,6.48,31.86,5.18,0.56,35.93,251.63,2.12,6.41,10.47,1031.64,6.74,29.29,19.57,0,1.34,30.69,0,0,0.67,0,0,135.13,2.03,14.41,51.96,16.06,24.55
 96-106,0,0,1.15,25.41,8.51,1.12,683.22,0.95,0.57,2.15,189.81,18.47,0,6.09,2.97,4.67,12.74,8.31,9.53,14.17,178.96,0.69,15.09,16.89,624.54,4.85,21.03,13.24,0,6.56,18.4,3.39,0,1.04,0.6,0,40.78,14.61,1.71,41.49,20.58,58.44
108-118,0,0,2.78,26.81,7.46,4.58,653.24,4.28,7,6.7,284.58,12.09,0,2.01,2.22,2.07,28.36,5.01,6.31,12.9,171.93,3.53,23.17,11.01,874.22,2.05,32.58,27.19,0,4.31,20.96,0,0,1.93,1.49,0,52.16,4.04,3.06,53.47,6.02,26.67
120,0,0,11.42,45.13,30.68,2.19,762.26,0,4.11,21.39,461.65,5.37,0,15.08,11.89,8.43,22.74,36.73,0,6.18,296.16,7.08,35.63,10.08,1886.23,15,40.7,28.25,0,41.8,4.94,0,0,1.97,0,0,77.58,3.1,21.81,49.39,41.51,15.85
