stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.32,79.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.07,4.61,0,0,11.99,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.84,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48,0,0,0,23.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,0,7.98,2.8,0,3.17,0,0,0,0,0,0,0,0,0,0.94,0,0,0.97,37.13,0,0,0,0,0,0,2.39,1.58,0.8,2.01,14.92,0,0,0.95,0,0
 24-34,0,0,1.35,0,0,0,0,8.54,0,0,1.06,0,0,0,0.61,0,0.68,4.8,0,0,0,85.92,0,1.22,0.74,0,0,0,0,0,0,0.73,14.16,0,0,1.08,0,0
 36-46,0,0,0,0,0,0,0,3.8,0,0,2.16,0,0,0,0,0,0,3.84,0,0,0,50.97,0,3.56,1.46,0,0,0,0,0,0,0,10.31,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,14.04,0,0,1.25,0,0,0.76,7.23,0.77,0,1.7,0,1.67,0.38,94.21,0,0.44,0,0,0,0,0,0,0,0,24.26,0,0,0.45,0,0
 60-70,0,0,0.7,0,0,0,0,13.48,0,7.07,2.81,0,0.93,0,16.6,5.1,0,7.92,2.23,0,0,77,0,0,1.26,0,0,0,0,0,0,0,14.96,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,30.88,6.55,0,1.7,0,0,0,263.27,6.52,0,3.41,0,0,0.63,164.55,0,0.49,0,0,0,1.27,0,0,0,0,5.54,0,0.63,7.77,0,7.58
 84-94,0,0,0,0,0,0,0,24.58,0,0,1.9,0,0,0.84,126,23.83,0.83,116.02,0,1.06,0,87.29,0,1.16,3.33,0,0,0.62,0,0,0,0,20.3,15.23,0,0,0.92,0
 96-106,0,0,0,0,8.4,2.32,0.97,26.83,0,0,6.85,0,0.62,0.57,241.2,457.07,0,3.15,0,0,0.79,175.2,0,0,13.49,0,1.6,0.6,0,0,0,0,4.96,0,1.45,0.8,0,0
108-118,0,0,0,0.74,1.75,2.71,0,45.21,0,0,8.44,0,0,0,309.89,278.35,0,33.63,0,0,1.12,171.9,0,1.82,0.66,0,0,4.81,0,0,0,0,3.17,0,0,3.08,0,7.51
120,0,0,0,0,0,0,0,2.03,0,0,7.08,1.23,3.06,0,605.88,185.4,0,15.43,0,0,0,158.62,0,1.26,0,0,0,0,0,0,0,0,18.31,0,2.2,0,0,0
