stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,0,34.07,0,0,0,12.26,0,0,0,0,0,0,0,0,0
 14-21,0,4.64,2.02,0,2.67,0,0,0,1.08,0,0,0,0,0.94,0,0.95,21.49,0,0,0,0,0,1.35,0,0,4.25,1.77,0,0,0
 24-34,0,0,0.66,0,5.35,0,0,0,0,0,0,0.9,0,0.59,0,0.78,21.55,0,0,0,0,0,0,0,0,0,12.31,0.86,0,0
 36-46,0,2.21,0,0,16.67,0,0,0,1.49,0,0,0,0,2.04,0,0.58,25.57,0,1.29,0,0,0,0,15.49,0,0,3.7,2.81,0,0
 48-58,0,0,0,0,13.84,0.84,0,0,7.75,0,0,0,0,1.97,0,0.52,21.58,0,0,0,0,0,0,0,0,0,6.3,1.69,0,0
 60-70,0.82,0,0,0,10.63,0,0,0,1.7,0.65,0,0,0,3.08,0.93,0,35.67,0,2,0,0,0,0,0,0,0,6.33,0,0,2.33
 72-82,0,1.44,0,0,22.68,0,0,0.69,4.46,0,0.81,0,0,6.76,0,0,25.25,0,2.57,1.64,1.13,0,0,0,0,0,2.72,0.68,0,0
 84-94,0,0,0,0,22.49,0,0.86,0,6.58,0,0,1.44,0,0.66,0,0,16.53,0.6,0.9,0,0,0,0,0,0,0,2.41,0,0,0
 96-106,0,9.32,0.72,0,17.2,0.64,0,0,7.67,1.02,0,0,0,32.89,0,0,23.06,0,0,0,0,0,0,0,7.61,0,0,0,0,0
108-118,0,0,0,6.59,10.26,0,0,0,9.31,1.12,0,0,0.55,6.66,0,3.28,43.14,0,0.79,0,0,2.51,0,0,0,0,0,0,0.49,0.48
120,0,8.29,0,0,8.44,5.49,0,5.02,19.99,0,0,8.54,0,0,0,0,51.27,0,0,1.73,0,0,0,0,0,0,0,0,0,0
