stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,75,1095.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.54,1785.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.94,7.94,0,0,30.33,0,6.9,0,0,0,0,0,0,0,0,0,0
  7-9,15.46,32.22,0,28.18,0,5.98,0,59.24,0,0,0,0,50.15,0,0,0,0,0,0,0,0,0,0,0,630.05,19.61,0,0,116.6,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,19.48,0,42.57,0,10.78,0,84.76,0,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,487.88,0,0,0,204.41,0,4.52,5.62,27.51,0,0,0,0,0,0,0,0
 14-21,0,0,1.09,4.28,52.92,6.47,0,10.65,0,0,2.42,3.25,0,0,1.15,0,0,0,0,1.75,18.8,0,0,5.78,161.76,0,0,1.09,2.08,0,1.56,30.44,2.37,0,36.51,26.6,0,0,0,0,0
 24-34,0,0,0,0,7.29,0,0,4.84,0,0,0.59,2.06,0,0,0,0,0,0,0,0,12.8,0,0,5.01,118.45,0,0,1.68,0,0,6.66,0,0,9.38,1.26,20.27,0,0,3.99,0,0
 36-46,0,0,0,0,0.6,0,0,4.51,0,0,3.82,0,0,0,8.17,0,0,0,0,1.16,11.89,0,0,0.7,67.72,0,0.66,0,0,0,28.28,0,0,0,0,21.63,0,0,0.59,0,2.5
 48-58,0,0,0,0.51,0.43,0,0,22.43,0,0.8,8.17,0,0,0,1.46,0,0,0.49,0,2.42,16.62,0,0.37,3.77,100.55,0.51,0,0.81,0,0,0.4,0,0,0,0,8.95,0,0,2.78,0,4.69
 60-70,0,0,0,0,1.8,0,0,53.41,0,0,15.19,0,0,0.76,0,0,0,0,0,1.24,10.49,0,0,0,157.97,0,2.37,0,0,0,2.48,0,0.76,0,0,21.58,0,0,1.33,0,0
 72-82,0,0,0,0,10.75,0,0,81.12,1.09,0.51,33.54,1.7,0,0,1.85,0,0,2.54,0.96,0.9,16.58,0.5,1.78,2.6,264.85,0,0,3.47,0,0,16.54,0,1.79,0,0,24,0,0.63,8.94,0,6.62
 84-94,0,0,0,0,12.44,0,0,62.18,0.57,0,24.67,1.93,0,1.1,1.53,0.56,0,0,0,0,12.24,0,0,3.45,186.11,1.43,0,0,0,0,43.87,0,5.84,0,0,20.3,0,0,2.68,0,2.23
 96-106,0,0,0,0,14.41,0,0,118.95,0,0,40.92,2.21,0,0,7.5,2.05,0.57,0.92,0,0.67,14.08,0,0,3.03,139.97,0.6,0,1.75,0,0,74.64,0,4.19,0,0,6.19,1.68,0,6.58,1.42,18.33
108-118,0,0,0.6,0,23.76,7.29,0.49,32.77,8.69,0.47,23.69,1.22,0,0,5.13,0.92,0,0.51,5.93,1.47,20.2,0.5,0,2.43,142.92,0,0.59,5.81,0,0,74.87,0,6.58,0.49,0,4.33,0.42,0,7.45,0,13.48
120,0,0,0,0,12.97,0,0,34.52,1.12,5.31,15.14,0,0,0,6.12,0,0,0,0,0,18.93,0,1.38,4.24,212.66,0,0,3.55,0,4.59,79.22,0,5.53,0,0,10.75,0,4.12,8.87,0,8.27
