stage,erythrocytes,eye,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,notochord
 10-12,0,0,0,0,0,0,0,0,3.71
 14-21,0,0,0,0,0,0,0,0,2.85
 36-46,0,0,0,0,0,1.9,0,0,0
 48-58,0,0,0,0,0,0,0.43,0,0
 60-70,0,0,0,1.22,1.87,1.46,0,0,0
 72-82,0,0.86,0,23.12,0,0,0,2.3,0
 84-94,0,0,1.33,3.08,0,6.33,0,0,0
 96-106,0,0,0.64,40.71,0,0,0,50.37,0
108-118,0,0,0,5.59,0,0,0,15.98,0
120,4.92,0,0,15.62,0,0,0,0,0
