stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,taste,vasculature,xanthophores
  3-4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,9.32,0,0,0,0,18.67,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,5.1,0,0,0,0,0,0
 14-21,0,0,0,1.77,0,0,0,0,0,0,0,0,1.66,0,0,0.82,7.79,0.83,1.87,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,3.17,0,0,0,9.84,0,0,0,0,0
 36-46,0,0.69,0,0.57,0,0,0,0,0,0,0,0.57,4.71,0,0,0,33.58,0,1.74,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.41,7.16,0,5.65,0.37,0,0,9.52,0,0,0,0,0
 60-70,0,1.45,0,0,0,0,0,0,0,0,2.63,0,4.41,0,0,0,21.81,0,0,0,0,0
 72-82,0,0.63,0,1.82,0,0,0,0,0,0.73,0,0.73,2.86,0,0,0,8.77,0,0,0,0,0
 84-94,0,7.87,0,9.74,0,0,0,0,0,8.64,0,0,7.91,1.84,0,0,68.59,0,3.6,0,0,0
 96-106,0,9.91,0,3.06,1.21,0.74,0,0,0.61,0,0,0,0.65,3.47,0,0,25.88,0,0,0.58,0.68,0
108-118,0,6.13,1.77,3.49,0,1.08,1.11,0,0,0,0,0.49,5.38,0,2.35,0,24.45,0,0,0,0,0.92
120,0,2.62,0,0,0,0,0,0,0,0,0,0,8.59,0,0,0,8.54,0,0,0,0,0
