stage,blastomeres,endoderm,erythrocytes,eye,fin.mesenchyme,glial,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,spinal.cord,vascular.smooth.muscle,xanthophores
  3-4,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,22.94,0,18.92,0,0,0
 14-21,0,0,0,0.85,0,0,0,0,0,6,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.68,29.57,1.71,0,10.91,0,0
 36-46,0,0,0,1.85,0,0.59,0,0.63,0,52.43,0,0,2.74,0,0
 48-58,0,0,0,9.26,0,5.37,3.43,0,0,79.41,0,0,8.44,0,0
 60-70,0,0,0,36.38,0,0,0,0,0,151.75,0,0,23.68,0,0
 72-82,0,0,0,34.21,0,1.61,0,5.13,0,103.16,0,0,12.97,0,0.82
 84-94,0,0,0,47.37,1.13,1.02,0,0,0,70.94,0,0,9.52,2.05,0
 96-106,0,0,0,7.21,0,0,0,0,0,50.84,0,0,16.79,0,1.4
108-118,0,0,0,34.5,0,0,0,1.17,0,95.94,0,0,0,0,0
120,0,0,2.59,59.53,0,2.06,0,0,0,173.93,0,0,0,0,0
