stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,ionocyte,liver,mesenchyme,muscle,neural,notochord,periderm,pgc,spinal_cord,taste,vasculature
  5-6,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.86,0,0,0,0,8.32,0,0,0,0,0,0
 14-21,0,0,1.19,0,0,0,0,0,0,0,0,0.83,1.06,0,0,0.91,0.81,0,1.86
 24-34,0,1.42,0,2.27,0,0,0,0,0,0,1.07,0,6.63,0,1.01,0,0,0,0
 36-46,0,0,0,0.72,0,0.56,0,0,0,0,2.86,1.13,7.08,0,0.96,0,4.22,0,5.74
 48-58,0,0,0,4.66,0,0,0,0,0,0,1.81,0,7.71,0,0,0,2.2,0,1.91
 60-70,0,0.82,0,0.72,0,0,5.85,0,0,0,5.05,0,10.12,0,0,0,11.73,0,7.71
 72-82,0,0,3.71,3.14,0.53,0,1.53,0,0,0,2.48,0,18.67,0,0,0,8.25,0.5,4.43
 84-94,0,0,0,12.57,0,0,0,0,0,0,2.23,0,4.05,0,0,0,0,0,13.35
 96-106,0,0.88,3.6,7.3,0,0,0,0,0.56,0,6.99,0,0,0,1.25,0,0,1.44,5.77
108-118,0,2.52,4.21,5.48,0,0.5,3.44,0,0.95,0,4.87,0,13.78,0,0.63,0,0,0,24.79
120,0,0,16.74,20.6,0,0,0,0,0,5.66,0,0,17.88,1.73,0,0,0,0,3.65
