stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,129.28,3080.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.53,0,0,0,0,0,0,0,0
  5-6,75.03,1486.14,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.13,0,0,0,6.56,22.3,0,0,0,0,0,0,0,0
  7-9,19.45,21.51,0,52.17,0,0,24.02,0,0,0,0,16.26,0,0,0,0,0,0,0,0,0,0,419.93,3.56,0,0,85.36,0,5.18,0,0,0,0,0,0,0
 10-12,0,13.9,0,10.52,0,0,19.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.51,13.22,0,0,10.28,0,5.47,5.71,0,0,0,0,0,0
 14-21,0,0,0,1.73,24.25,0,0,0,0,0,2.35,0,0,0,0,0,0,0,0.96,0,0,0,1.83,0,0,0.84,0,0.81,0,0,1.67,3.7,0,1.01,0,0
 24-34,0,0,0,0,15.17,0,3.18,0.93,0,2.47,1.88,0,0,0,0,0,0.63,0,4.05,0,0,3.5,8.22,0,0,2.7,0,0.8,0,3.71,0,2.77,0,13.03,0,0
 36-46,0,0,0,0,5.55,0,1.83,2.76,0,0,0,0,10.2,0,0,0,1.44,0,6.59,0,0,1.89,5.29,0,0,0.67,0,2.86,0,3.62,0,0,0.62,13.31,0,0
 48-58,0,0,0,0,12.64,0,3.59,0,0,1.8,0,0,0.69,0,0,0,0,0,6.01,0,0,0,6.58,0,0,0.55,0,0,0,1.25,0,0,0,12.35,0,5.54
 60-70,0,0,0,0,13.51,0,13.74,0,0,0,4.6,0,0,0,0,2.04,0,1.98,7.1,0,1.2,0,2.26,0,1.21,0,0,0.66,0,5.85,0,0,0,24.59,0,0
 72-82,0,0,0.68,0,5.89,0,4.6,0,0,2.08,10.33,0,2.09,0,2.21,0.67,0.91,0,12.96,0,0,2.99,25.01,0,0.7,0,0,3.51,0,10.17,0,3.01,0,43.65,0.57,7.59
 84-94,0,0,0,0,14.45,0,3.63,1.2,0.83,0,46.75,0,0,1.41,2.21,0,1.78,0,11.18,0,0,0.65,3.22,0,0.76,1.56,0,1.28,0,14.91,0,0,0,27.23,2.71,0
 96-106,0,0,1.43,0,30.09,4.7,6.19,1.59,1.31,4.9,51.81,0,3.33,0,0,0.6,1.64,4.95,21.8,0,0,2.09,27.84,0,2.63,1.21,0,8.64,0,8.58,0,0,0,31.05,0,0
108-118,0,0,0,0,15.83,0,0.85,3.21,1.14,3.45,70.4,0,0.71,0,1.14,0,2.7,3.69,6.59,0.43,0,0,10.45,0,3.3,2.3,0,1.27,0,4.84,0,1,0,44.56,0,0
120,0,0,0,0,35.71,0,0,0,0,1.07,66.53,5.2,3.15,0,0,0,0,12.82,18.18,0,0,3.4,12.74,0,0,0,0,4.27,0,11.11,0,0,0,53.43,0,0
