stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,35.1,420.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.18,303.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,19.74,32.54,0,53.78,0,0,0,77.21,0,0,0,0,24.88,0,0,0,0,0,0,0,0,0,0,0,547.53,63.07,0,0,196.63,0,0,6.94,0,0,0,0,0,0,0,0,0
 10-12,0,36.6,0,101.83,0,0,0,48.03,0,0,0,0,28.08,0,0,0,0,0,0,0,0,0,0,0,790.81,22.08,0,0,254.38,0,0,7.39,0,12.71,0,3.87,0,0,0,0,0
 14-21,0,0,0.8,2.76,81.35,12.23,0,16.75,0,0,34.7,2.49,7.12,1.15,3.41,0,0,0,0,0,44.25,0,0,19.96,309.28,5.39,3.82,24.92,12.1,0,1.07,3.91,26.38,25.46,0,17.08,182.93,0,0,0,0
 24-34,0,0,0,0.59,29.14,8.41,0,30.86,0.63,0,35.04,1.83,0,0,5.39,0,0,1.93,0,0,42.57,0,0,36.06,510.3,2.52,18.94,5.8,0,0,2.26,0,0,8.89,0,2.66,188.04,0,9.1,0,0
 36-46,0,0,0,0,6.87,0,0,93.66,1.17,2.17,47.14,0,0,1.05,0,0,0,0,0,0,47.42,0,1.37,8.13,373.44,0.97,16.65,7.7,0,0,15.76,0,0,2.54,0,0,142.87,0,4.26,0,0
 48-58,0,0,0.53,0,17.44,0,0,120.18,0.49,2.27,92.91,0.86,0,3.39,0,0,0,0.4,0,2.49,84.89,0.39,0.48,9.18,278.27,5.7,10.25,11.65,0,0,4.34,0,0,11.41,0,0,119.84,0.42,1.29,0,0
 60-70,2.52,0,0,0,20.38,0,0.59,204.76,6.18,3.6,100.67,0,0,0,0,2.65,0,0.82,0,1.94,138.52,0,6.43,6.62,299.25,0,18.75,4.27,0,0,0,0,0,3.57,1.91,0,36.89,0,2.54,0,0
 72-82,0,0,0.79,0,4.27,6.37,1.4,119.07,0.55,7.85,115.73,2.41,0,0,0,0.7,4.27,2.36,0,0.64,131.03,0,2.89,15.7,159.74,0.53,16.41,3.16,0,1.4,0,0,0,2.14,0,0,20.59,5.67,1.52,2.78,8.73
 84-94,0,0,0.74,0,16.32,4.02,8.42,144.04,4.47,2.18,81.55,2.5,0,0,0,0,1.17,2.75,2.84,0.99,123.27,0,15.1,12.48,188.95,1.68,14.46,4.72,0,0.91,0,0,0,0,0,0,13.91,3.03,2.86,4.01,0
 96-106,0,0,0.99,0,12.64,11.74,1.82,96.1,0.57,2.48,88.69,2.29,0,0.89,0,0,0,2.08,0,0,164.71,1.63,3,11.51,126.24,0.68,28.9,7.94,0,1.84,2.81,0.7,0,0.73,0,0,14.39,1.03,4.17,2.69,0.8
108-118,0,0,9.43,0,7.81,0,15.71,71.34,2.1,7.32,57.43,0,0,0.52,2.15,0,1.57,6.18,0.5,0.66,161.14,0,0.83,10.34,173.27,0,8.76,5.78,0,1.32,0.54,0,0,0.96,0,0,18.69,0.53,0,0,0.87
120,0,0,0,0,21.99,0,2.67,136.49,1.31,0,147.26,13.89,0,0,1.96,0,0,2.39,0,0,250.29,0,0,19.72,313.35,3.28,17.18,6.8,0,0,0,0,0,2.78,0,0,35.3,10.58,4.28,19.22,0
