stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.35,207.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.73,0,0,0,0,0,0,0,0,0,0
  5-6,16.6,176.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.55,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,9.93,0,0,0,7.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.38,0,0,0,30.17,0,5.78,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.14,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.8,0,0,0,29.53,0,0,0,9.8,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.67,2.02,0,0,0,0,0,9.17,1,0,0,0,0,0,0,3.3,0,0,0,4.27,2.16,0,2.04,0,0,2.4,0,1.37,0,1.44,0,0,0,0,0,0
 24-34,0,0,0,1.83,0,0,0,5.2,0,0,2.32,0,3.3,0,0,0,0,0,1.77,0,0,4.56,24.74,0,1.36,0,0,0,0.74,0,0,41.55,0,23.21,0,0,1.05,0,0
 36-46,0,0,0,16.61,0,0,1.71,85.28,0,0,1.45,0.56,0,0,0,0,1.01,0,7.78,0,0,10.65,25.2,0,0.84,1.31,0,0,1.14,0,0,101.23,0,10.96,0,0,2.12,0,0
 48-58,0,0,0,7.02,0,0,43.11,121.25,0.4,0,9.38,0.51,2.75,0,0,0,0,0,5.52,0,0,15.25,157.3,0,0.42,1.57,0,0,6.08,0,0,119.26,0,25.89,0,0.61,0.45,0,1.67
 60-70,0,0,0,0,0,0,58.07,94.26,10.2,0,5.01,0,0,0,0,0,0,0.86,13.76,0,10.18,13.42,112.53,0,0,3.57,0,0,0,0,0,71.48,0,19.57,0,0,10.59,3.23,0
 72-82,0,0,0,0.98,0,0,31.6,76.56,0,0.69,8.77,0,0,0,0,0.65,0,0,13.78,0,3.97,10.13,73,0,1.16,2.92,0,0,2.87,0,0,21.23,0,8.15,0.88,2.05,0,9.35,0
 84-94,0,0,0,1.86,4.79,0,45.44,77.49,0.56,5.54,9.68,0,2.84,0.56,0.91,0,0,5.59,22.95,1.71,0.68,19.77,41.23,0,0,0,0,0,2.77,0,0,33.9,0,7.19,0,2.1,0,8.13,0
 96-106,0,0,0,10.4,13.86,0,62.86,109.74,1.82,0,16.16,0.69,2.44,4.59,0,0,0,0,17.69,1.07,8.27,13.49,147.56,0,0,0,0,0,16.61,0,0,34.66,0,15.28,0,1.65,3.85,15.85,0
108-118,0,0,0,0.87,8.11,2.79,37.77,91.68,0,1.54,20.37,1.66,0.59,3.33,0,0,0.61,0,12.24,0,13.17,26.33,62.32,0,0.46,4.64,0,0,1.75,0,0.55,39.32,0,11.48,0.68,0,0,17.31,0
120,0,0,0,12.6,1.96,0,1.2,114.09,0,0,58.16,0,2.29,2.84,0,0,3.38,0,23.39,0,14.07,6.01,232.92,0,0,4.55,0,3.68,1.67,1.12,4.11,34,0,31.19,0,0,0,16.45,0
