stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.49,0,0,0,0
 14-21,0,0,82.7,0,1.12,0,0,0,1.35,1.08,0,0,0,0,0,0,0,0,1.2,0,0,22.84,24.16,45.89,0,0,0,0,0,24.07,742.36,1149.42,1.12,0,0,0
 24-34,0,0,195.41,4.31,1.59,16,0,0,0.64,0,0,0,0,0,0,1.28,0,0,5.51,0,0,55.57,178.7,6.66,0.67,0,0,1.07,0,1.22,229.54,393.39,10.34,0,7.82,0
 36-46,0,0,74.14,0,6.4,43.3,0,0,0,0,0,0,0,0,0,0,0,0,8.74,1,0,34.65,245.11,2.39,0,0.57,0,1.56,0.81,0,175.23,11.15,5.91,0,0.85,0
 48-58,0,0,63.82,0,17.59,33.37,0,0,2.29,0,0,0,5.83,0,0,1.52,0,0.39,5.35,0,0.53,81.96,153.25,0,0,0,0,4.14,0,0,98.23,0.83,15.77,0,0,6.21
 60-70,0,0,52.02,0,10.56,21.13,0,0,3.67,0,0,1.47,0,0,0,0,0,0,8.86,0,0,56.54,157.68,5.74,0,0,0,0,0,1.38,65.84,0,0,0,3.07,0
 72-82,0,1.74,29.51,0,27.03,24.02,0,0,3.13,0,0,0,0,0,0,0.81,0,0,9.68,0,0,62.4,270.22,0,0,0,3.38,3.33,0,0,33.49,0,2.24,0,2.19,0
 84-94,0,0,32.07,0.85,29.68,36.83,0,0,5.2,0,0,0,9.15,0,0,6.9,7.21,0,8.65,0,0,76,64.07,0,0.56,0,0,2.72,0,0,43.93,0,2.99,0,0,0
 96-106,0,0,23.43,2.45,41.17,25.93,1.32,0,3.17,2.29,1.06,0,1.98,0,0,1.11,0,0,38.88,0,1.02,85.56,167.67,0,0,0,2.41,9.16,0,0,43.38,0,0,0,0.6,0
108-118,0,0,15.57,1.32,16.08,25.82,0.74,0.93,4.28,1.17,0,0,0,0.65,1.02,0,0,0,11.78,0,0,144.83,240.19,0.9,4.88,0,0,9.57,0,0,51.51,0,0.95,0.66,2.74,0
120,0,0,17.17,1.75,44.49,52.07,0,0,0,0,0,0,0,0,0,1.34,0,0,4.91,0,2.47,208.47,265.81,0,0,11.98,0,1.68,0,1.12,22.2,0,0,0,0,0
