stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,61.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.67,112.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,6.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.6,10.22,0,9.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.96,0,0,0,39.93,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.07,9.72,1.08,1.1,0,0,0,0,0.84,0,0,0,0,0,4.2,0,0,0,55.62,5.87,0,0,0,1.72,0.91,4.16,1.5,0,5.45,11.18,0,0,0,0,0
 24-34,0,0,0,2.33,0.81,3.96,0,0.68,0,0,1.74,0,0,0,0,0,18.04,0,0,3.74,72.37,0,0,0,0,3.29,0,0,0,1.89,1.49,7.66,0,0,11.9,0,3.51
 36-46,0,0,0,38.89,0,1.54,9.53,0,0,1.8,0,0,2.52,0,0,0,33.73,0,0,1.84,117.99,0,0,0,0,15.57,0,0,0,0,0,6.55,0,0,1.46,0,0
 48-58,0,0,0,21.46,0,4.95,3.95,1.52,5.54,1.2,0,0,0,0,0,0,21.22,0,0,1.56,19.31,0,0,0,0,25.88,0.65,0,0,0.45,0,3.06,0,0,2.72,0,0
 60-70,0,0,0,0,0,49.65,1.29,0,0,0.76,0,0,0,0,0,0,6.35,0,0,0,21.1,0,0,0,0,5.54,0,0,0,3.04,0,0,0,0,0,0,0
 72-82,0,0,0,4.26,3.5,19.18,2.21,0,0,4.78,0,0,2.02,0,0,0,24.14,0,1.62,0.62,45.75,2.92,0,0,0,0.49,0,0,0.49,0,0,0,0,0,3.16,0,0
 84-94,0,0,0,2.82,0,71,0,0,2.68,0,0,0,7.28,0.68,0,0.96,11.02,1.16,0,3.91,44.19,2.09,0,0,0,7.39,0,0,0,0.63,0,0,0,0,3.51,1.25,0
 96-106,0,0,0,68.1,0,112.2,0,0,0,7.16,0,1.06,1.64,1.23,2.18,66.91,72.13,0,1.95,0,38.87,0,1.86,0,0,10.31,0,0,0,0,0,3.24,0,0.83,4.83,0,10.23
108-118,0,0,0,158.51,0,124.15,0.42,1.05,0.87,4.13,0,0,3.67,0.75,1.34,0.67,23.57,0,1.81,0.49,137.61,1.03,0,1.65,0,5.91,0.42,0,0.75,0,0,0,1.08,0,6.55,1.54,1.25
120,0,0,0,0,0,61.45,1.12,0,1.98,1.7,1.91,0,0,0,0,0,9.76,0,0,4.74,282.78,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0
