stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,6.19,78.16,13.64,0,29.56,0,0,0,19.01,3.48,0,0.81,0,0.82,0,0,0,0,42.27,0,0,37.92,369.62,14.91,6.15,6.34,11.12,0,2.11,43.14,2.11,0,63.98,138.51,0,0,3.57,0,0
 24-34,0,1.43,32.42,1.46,0,63.12,1.66,1.67,0.63,6.84,3.48,0,0,0,1.32,0,0.79,3.58,0.78,57.88,6.12,0,20.38,660.69,6.52,25.46,0.67,0,0.99,8.74,0,0.6,0,7.46,148.35,0,0,35.14,0,0
 36-46,0,0,57.83,0,0,80.49,3.06,0,0.87,62.26,1.33,8.1,0.88,1.03,2.49,0,0.81,0,3.01,57.54,0,3.84,20.32,657.78,0.61,32.97,2.45,0,0,14.77,2.6,0.6,0,0,156.13,0,0,7.83,0,0
 48-58,0.42,0,28.15,0,0,185.89,3.47,8.66,7.53,45.24,5.5,0,1.16,1.07,0,0.64,0.69,0.76,5.35,70.66,0,1.36,15.2,736.95,1.81,22.78,0.84,0,0,18.25,0,0.43,1.17,0,145.36,0,0.89,8.83,0,7.01
 60-70,0,0,10.32,0,0,203.42,4.91,1.03,8.32,46.98,3.45,0,0.93,3.96,5.01,3.46,0,12.69,7.49,60.54,0,4.93,19.86,691.92,9.31,12.9,5.58,0,0,11.49,0,1.68,0,0,108.57,0,1.79,4.67,0,7.19
 72-82,1.18,0,15.04,1.16,0,185.61,2.46,5.14,10.79,78.06,5.61,0,1.41,0.61,0.53,1.03,0,0,1.67,98.06,1.23,3.13,11.22,565.68,0,34.6,0.99,0,0,3.9,0,1.26,0,0,57.81,0.5,2.45,10.93,4.07,9.5
 84-94,1.86,0,15.81,0,2.79,157.25,1.56,7.34,0.87,43.64,15.65,0,0.6,1.62,0.56,2.69,1.59,0,0.98,74.98,0,1.08,16.61,396.81,1.46,27.97,1.79,0,0,12.61,0,1.58,0,0,56.19,3.48,0,23.54,0.68,2.1
 96-106,0.81,0,13.3,8.56,0,139.2,0,0.82,0.76,41.46,11.81,0,1.73,1.55,1.07,0.89,3.13,0.63,2.01,56.46,0,4.98,10.66,257.96,3.12,26.29,3.97,0,0,11.08,0,0,0,0,30.48,4.86,1.03,9.76,5.6,16.79
108-118,1.91,0,13.85,0,0,106.67,4.73,1.14,1.78,53.06,20.07,0,1.27,1.99,0.43,4.5,0.45,0,1.34,68.39,0,10.72,3.48,338.68,4.74,15.23,4.14,0,8.6,5.35,0,0,0,0,11.96,10.71,3.24,8.3,6.21,20.16
120,0,0,26.43,9.08,0,90.3,2.34,2.25,0,118.93,23.64,0,0,12.55,0,4.71,2.69,0,1.51,98.01,0,9.82,18.19,695.57,5.7,5.63,1.28,0,0,9.31,0,1.55,0,0,23.85,0,1.52,35.14,5.18,0
