stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.56,479.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.45,496.34,0,0,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0,0,37.69,14.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.07,0,0,24.56,0,0,0,23.7,0,0,0,0,0,5.76,0,0,0,0,0,0,0,0,0,0,0,77.13,0,0,0,20.33,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.36,0,0,0,12.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.57,3.16,0,0,94.88,0,0,0,0,5.05,0,0,0,0,0,0
 14-21,0,0,0,0,13.62,16.1,0,7.45,0,0,0,0,0,0,0,36.39,0,0,0,0,0,14.53,0,0,42.25,125.38,0,0.84,0,2.51,1.6,26.1,0,0,49.67,33.01,0,0,17.99,0,0
 24-34,0,0,2.31,0.59,1.4,1.57,0,8,0,0,0,1.58,0,0,0,792.56,0,0.7,0,0,0,35.44,0,0,25.84,267.69,5.86,10.93,1.07,0,14.31,0,0.6,0,2.61,52.29,0,0,45.75,0,0
 36-46,0,0,0,0,0.79,0,0,21.77,0,4.72,0,2.08,0,0,1.77,1839.05,0,0,1.61,2.42,9.72,35.02,0,0,10.54,284.96,0.58,0.6,0,0,0,0,0.59,2.77,0,52.16,0,0,10.99,0,0
 48-58,0,0,0,0,0,8.04,0,46.27,0,0,0,6.58,0,0,0.45,2244.51,0,0,0.94,0,0.58,22.57,0,0.38,5.07,338.41,2.02,0,0,0,5.66,0,0,0,0,28.33,0,0,1.71,0,1.92
 60-70,0,0,0,0,0,0,0.59,130.89,0,0,1.67,1,0.62,0,0,2156.41,0,0,0,0,0,16.77,0,0,6.32,341.69,0,0,0,0,2.69,0,0,0,0,26.61,0,0,0.76,0,3.92
 72-82,0,0,1.94,0,0.71,0.57,7.02,215.33,0.91,0,2.41,7.78,0,0,0,2591.8,0,6,4.09,0,0,30.36,0,0.55,2.56,332.35,0,0,0,0,1.32,0,6.01,0,0,16.07,0,0,9.85,0,0
 84-94,0,0,0,0,1.57,0,7.81,147.05,0,0,3.89,4.42,3.03,0,0,3533.44,0,0.61,1.43,1.18,1.35,19.11,0,0.95,1.26,284.52,0,1.95,0,0,7.85,0,0,0,0,19.81,3.76,1.04,1.82,0,0
 96-106,0,0,0,0,9.6,24.08,25.2,228.62,0,0,0,17.66,9.25,0,1.33,3319.38,0.85,0,9.18,2.09,0,25.17,2.53,4.1,2.64,267.73,0,0,0.77,0,12.04,0,0,0,0,8.63,5.22,1.23,2.31,3.29,3.23
108-118,0,0,0,0,6.55,7.81,41.75,227.57,0.58,2.71,7.03,7.64,3.68,0,0,3081.16,0,0,0.47,5.46,0,20.27,0,0.93,9.07,354.08,0,0,0.99,0,7.49,0,0,0,0,0,0,1.8,2.8,1.26,0
120,0,0,0,0,24.92,2.94,3.69,89.02,16.76,0,0,28.22,0,0,0,2881.41,0,17.67,5.08,11.32,0,21.38,0,0,3.87,346.93,0,0,0,0,10.37,0,0,0,0,3.82,0,0,5.48,0,8.45
