stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.79,211.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.35,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,70.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,12.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.52,0,0,0,12.32,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.11,0,0,0,0,25.75,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0,0,308.91,0,0,0,53.27,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.82,91.6,0,6.94,0,0,0,2.27,0,0,0,0,0,0,0,0,2.89,0,0,0.92,67.71,0,0,1.53,0,0,9.72,0,9.26,0,0,6.5,23.21,0,0,0,0,0
 24-34,0,0,0,0,1.49,0,7.92,0,0,0,0,0,0,1.21,0,0,2.16,0,0.92,12.9,0,0,8.38,355.62,0,2.8,0,0,0,16.94,0,0.97,0,0,0,66.8,0,0,1.13,0,0.86
 36-46,0,0,0.73,0,4.33,0,12.12,0,1.39,1.14,5.1,0,0,0,0,0,0,0,0.7,13.93,0,0,1.98,699.94,0,0.93,0,0,0,39.57,0,0,7.4,0,0,151.14,0,0,0,0,0
 48-58,0,0,0,0,0.49,0,91.17,0,0,3.06,6.19,0,0,0,0,0.55,7.73,7.28,0,15.65,0,0,2.3,1188.36,0,0,0,0,0,8.51,0,0,0,3.14,0,136.45,0,0,0,0,0
 60-70,0,0,0,0,1.15,0,358.68,2.95,0,0,6.07,0,0,0,0,0,0,0,0,7.91,0,9.41,0,1542.66,0,1.44,0,0,0,18.99,0,0,0,0,0,160.93,0,0,1.73,0,3.35
 72-82,0,0,0.71,0,7.86,1.24,441.2,0,0,0,11.52,0,0,0,0.49,0,0,1.54,0,18.39,0.95,1.04,8.63,1273.97,0,0,0,0,1.4,12.04,0,0,0,0,0,118.8,5.75,0,0,0,0.67
 84-94,0,0,0,0,10.2,0,342.99,0,0,2.05,1.7,0,0,0,0,0.6,0,7.48,0,10.77,0,0,1.76,706.56,0,9.74,3.66,0,0,37.09,0,0,0,0,0,61.52,0,1.91,0.61,0,0
 96-106,0,0,0,0,7.97,2.21,231.62,0,0,0,25.81,0,0,0,1.06,0.8,0,0,0,16.34,0,0,0,667.2,0,2.04,0,0,0,27.63,2.06,0,0,0,0,24.13,0,0,0,0,0
108-118,0,0,0,0,16.8,1.66,210.1,0,2.42,0,11.07,3.1,0,0,0,0.75,2.46,0,0,19.44,0,0,0.9,791.46,0,2.09,0.56,0,0,9.88,0,0,0,0,0,21.07,0,0,2.63,2.94,0
120,0,0,0,0,21.5,0,256.95,0,0,0,13.24,0,0,0,0,0,0,0,0,15.76,0,0,0,1343.95,3.31,1.09,1.47,0,0,7.86,0,0,0,0,0,35.37,0,0,0,0,0
