stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.88,0,6,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.15,0,12.65,0,0,0,0,0,0,0,0
 14-21,0,0,0.88,4.9,0,5.92,0,0,0,0,0,0.98,0,0,0,0,25.24,0,0,0,1.97,0,2.25,2.28,0,0,0
 24-34,0,0,0,0,0,2.46,0,0,0,0,0,0,2.53,0,0,1.4,33.33,0,0,2.43,0,1.19,0.81,10.43,0,0,0
 36-46,0,0.56,0.64,0,0,2.39,2.57,0,0,0,0,0,0,0,6.93,0,17.37,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,1.34,0,0,4.71,1.96,0,0,0.51,0,0,0.37,0,0.46,0,17.67,0,0,0,0,0,0,0.9,0,0,0
 60-70,0,0,0.71,0,0,4.1,0,0,0,0,0,0,1.92,0.63,1.78,0.72,1.49,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.98,0,0,0.58,0.55,0,0,0,0,0.64,0,5.08,0,0,0.91,0,0,0,5.27,0,0,0
 84-94,0,0,0,1.73,0.6,1.63,0,0,0,0,1.01,0,1.48,0,2.01,0,0,0,0,0.84,0,0,0,0,0,0.85,1.07
 96-106,0,0,0,0,0,3.46,0,0.9,0,1.09,0,0,0,0,3.5,0.71,6.62,0.67,0,0,0,0,0,2.15,0,2.92,0
108-118,0,0,0,1.01,0.55,0.46,0,0,1.66,4.02,0,0,0,0,0.66,1.3,2.16,0,0,0,0,0,0,0,2.05,0,0
120,0,0,4.15,3.03,0,5.81,0,0,0,0,0,0,1.32,0,1.73,0,5.35,0,0,0,0,0,0,0,0,0,0
