stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.55,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,1.51,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.25,0,0,1.48,0,0,0,0,0.78,0,0,74.26,1,1.45,0,0,15.18,0,0,0,0,0
 36-46,0,0,0,0,1.13,0,0,0.95,0,0,0,0,0,0,0,178.68,0,2.84,0,2.32,26.09,0,0,0,0,0
 48-58,0,0,0,0,4.36,0,1.41,5.28,0,0,0,0,1.73,0,0,225.84,0,0,0,0,21.56,0,0,0,0,0
 60-70,0,0.95,0,0,71.79,0,0,0,0,0,0,0,2.83,0,0,595.16,0,3.29,0,0,40.55,0,4.5,0,0,0
 72-82,0,0,0.66,0,163.24,0,0,25.12,0,0,0,0,5.63,0,0,647.21,0,2.84,0,0,60.19,0,0,0,0,1.14
 84-94,0,0,2.95,0,148.61,0,0,5.75,0,0,0,0,0,0,0,374.09,0,0,0,0,18.91,0,0,0,0,0
 96-106,0,0,1.62,2.27,202.92,0,0,13.04,0,0.74,0,0,3.8,0,1.05,429.72,0.62,1.71,0.65,0,14.68,0,0,1.17,0.59,0
108-118,0,0,3.26,0,380.82,1.3,0,18.12,0,0,3.04,0,7.57,4.77,2.85,696.23,0.43,5.39,1.46,0,18.62,0.68,0,0,0.57,0.91
120,1.19,0,12.24,0,723.64,0,0,91.68,1.77,0,0,5.29,24.87,0,2.35,2424.58,0,6.36,0,2.01,49.17,0,0,0,0,0
