stage,axial,blastomeres,eye,hatching.gland,heart,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,pgc,vasculature
  3-4,0,173.76,0,0,0,0,0,0,0,0,0,0
  5-6,21.2,358.2,0,25.08,0,0,14.2,0,0,0,0,0
  7-9,0,6.33,0,0,0,0,61.07,8.71,0,34.93,9.62,0
 10-12,0,13.78,4.33,0,0,0,7.51,0,0,0,0,0
 14-21,0,0,0,0,0,0,3.69,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.08,0,0,0,0,0
 36-46,0,0,0,0,0,0,7.52,0,0,0,0,0
 48-58,0,0,0,0,0,0,4.58,0,0,0,0,0
 60-70,0,0,0,0,0,0,5.65,0,0,0,0,0
 72-82,0,0,0,0,0.91,0,6.69,0,0,0,0,0
 84-94,0,0,0,0,0,0,10.54,0,0,0,0,6.93
 96-106,0,0,0,0,0,0,0,0,0.83,0,0,0
108-118,0,0,2.46,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,14.12,23.83,0,0,0,0,0
