stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,29.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.07,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.91,14.29,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,28.41,10.91,0,0,0,0,2.96,0,0,0,0,0,0,9.12,0,0,0,9.54,124.13,0,295.93,0,0,1.53,281.5,16.83,0,295.91,205.72,0,0,0,0,0
 24-34,0,0,0,69.32,8.32,23.8,0,15.02,85.06,13.66,0,0,0,0,0,0,28.86,0,0,221.3,80.68,197.99,0,0,0,0,0,4.24,13.03,8.93,553.53,556.75,0,0,10.84,0,0
 36-46,0,0,0.96,7.81,0,2.22,3.76,14.47,165.82,40.09,0,3.12,0,0,0,0,56.74,0,0,206.63,110.3,42.07,0,0,0,3.94,0,0,7.36,16.69,2,469.9,0,0,6.78,0,0.68
 48-58,0,0,0,0,0,12.27,5.94,28.07,163.14,46.51,0,0.39,0,0,7.28,2.24,135.13,0,0,105.6,73.4,32.62,0,0,0,0,0,0,1.94,9.5,0,551.34,0,0,1.36,0,5.42
 60-70,0,0,0,0,0,29.13,5.93,21.99,120.02,22.13,0,0,0,0,0,4.34,113.62,0,0,71.54,40.17,1.73,0,0,0,0,0,0,7.47,3.08,0,556,0,0,9.32,0,7.56
 72-82,0,0,0,2.79,0,14.17,1.18,4.33,157.97,89.57,0,0.59,0.93,0,0,0.98,85.53,0,0,65.87,78.42,18.55,0,0,0,0,0,0,0.55,1.21,0,569.4,0,0,0.64,0,6.97
 84-94,0,0,0,4.9,0.88,23.46,1.38,5.19,107.7,66.17,0,0,0.74,3.59,0,1.74,133.36,0,0,65.67,100.51,13.63,0.84,0,4.73,1.76,0,0,6.66,1.59,0,411.85,0,0,2.5,3.21,20.66
 96-106,0,0,1.07,4.09,0,10.93,0.6,2.76,121.38,28.02,0,0.93,0,0,0,8.8,63.47,0,3.02,32.59,68.13,15.92,0.86,0,0,0,0,0,3.09,4.04,0,137.15,0,0.93,3.54,0,5.95
108-118,0.67,0,0,3.11,0,27.4,2.09,1.59,106.27,42.68,0.7,0,0,0,1.35,2.41,134.37,0.77,0,27.68,83.14,14.35,0,0,0,0,0,0,3.47,0,0,154.72,0.72,0,0.42,0,9.87
120,0,0,0,3.19,0,23.39,0,1.23,62.74,21.42,0,0,0,1.07,0,0,108.4,0,0,20.13,48.07,10.95,0,0,0,0,0,0,1.95,2.07,0,88.24,0,0,0,0,16.34
