stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,pericytes,periderm,spinal_cord,taste,vasculature
  5-6,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,7.02,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,6.34,0,0,0,0.6,0,0,0,0,1.78,0,0.99,0,0
 84-94,0,0,0,0,0,0,0,11.21,0,0,0,0,0,1.38,0,0,0,0,0,2.26,0
 96-106,0,0.77,0,0,0,0,0,121.06,0,0,0,0.99,0,13.52,0,0,0,0,0,4.1,0
108-118,0,0,0.54,0.9,16.66,1,0.9,382.03,0,0.43,2.33,10.34,0.92,11.17,0,2.07,0,4.38,0,0.43,2.32
120,0,4.96,0,0,0,0,0,283.1,2.26,0,5.65,14.03,0,14.12,0,0,0,6.02,0,0,2.17
