stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.32,488.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.88,0,0,0,0,0,0,0,0,0
  5-6,37.5,560.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.07,0,0,0,0,0,0,0,0,0,0
  7-9,7.13,36.36,0,0,0,0,46.43,0,0,0,0,3.97,0,0,0,0,0,0,0,0,265.48,5.93,0,0,59.18,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.94,0,4.87,0,9.23,23.7,0,0,0,0,0,0,0,0,0,0,0,0,0,163.25,0,0,0,15.39,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11.41,1.98,5.4,0,0,0,0,0,0,0,0,0,0,4.54,0,2.58,27.67,1.23,0,0.86,0.8,1.68,0.83,1.06,0.89,7.7,0,0,0,0,0
 24-34,0,0,0,0,0,0.66,7.4,0.69,0,1.63,0,0,0,0,1.73,0,0.67,0,0,1.65,59.86,0,2.66,0,0,3.39,0,3.46,0,10.55,0,0,0.8,0,0
 36-46,0,0,0,0,0,0,10.9,0,0,2.28,0,0,0,0,0,0,0,0.58,0,0,31.96,0,0,0,0,2.61,0,0,0,12.42,0,0,0,0,0
 48-58,0,0,0,0,1.34,0,28.16,0,0,1.13,0,0,0,0,0,1.69,0,0,0,0,48.04,0,3.11,1.39,0,0,0,0,0,3.27,0,0,0.61,0,1.39
 60-70,0,0,0,0,0.74,0,140.9,0.61,0,6.44,0.64,0,0,1.42,0,0,0,7.63,3.03,0,157.24,0,2.59,0,0,8.16,0,0,0,12.53,0,0,0.71,0,2.21
 72-82,0,0,0.98,0,0.96,0,71.14,0,0,8.03,0.99,0,0.66,1.36,0,0,0,3.74,0,0,67.93,0,1.58,0,0,0,0,0.86,0,3.12,0.8,0,0,0.52,0
 84-94,0,0,0,0,1.82,0,18.46,0,0,2.71,0,0,0,0,1.03,0,0,2.53,0,0,32.08,0,0.93,0,0,1.42,0,0,0,1.08,0,2.16,0,0,0
 96-106,0,0,0,0,2.13,0,28.87,0,0,4.17,0,0,0,0,0,0,0,2.38,0,0,25.59,0,4.88,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.56,0,13.64,0,0.62,0,0.49,0,0,1.32,0,0,0,1.64,0,0,33.8,0,0,0.65,0,0.48,0,0,0,0,0.84,0,0,0,0
120,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,11.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
