stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,9.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.46,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,73.49,0,0,0,0,0,0.85,0,67.66,0,0,0,0,0
 24-34,0,0,0,0,0,0,4.27,0,0.61,0,2.62,0,0.68,0.88,0,0,0,2.16,0,3.14,0,0,0.99,831.27,0.62,6.22,0,0,2.36,0,0,240.02,0,0,0,0,0
 36-46,0,0,0,1.07,0,0,35.38,0,0,0,5.46,0,0,0,0,0,0,0,0,4.58,0,0,0,2423.73,0,9.64,28.11,0,13.17,0,0,446.22,0,0,3.52,0,0
 48-58,0,0,0,10.98,2.76,0,198.06,0,0.4,1.16,36.47,0.51,1.65,0.71,0.52,6.95,0,0,0,15.07,0,0,1.43,3489.08,0,2.87,0.44,0.39,6.73,0,0,626.34,0,0,6.29,0,4.91
 60-70,0,0,0.91,13.22,0,0,596.07,0,0,0,43.69,3.76,0,5.21,0,0,0,3.63,0,24.15,0,0,10.78,4346.71,0,1.56,1.23,0,2.98,0,1.06,691.61,0,0,4.18,0,10.64
 72-82,0,0,0.54,24.9,8.58,0,778.92,0,0.55,9.19,52.8,0,1.04,2.56,0,5.36,0,6.62,3.31,44.21,0.88,5.59,6.86,4075.51,4.03,7.54,0,0,9.3,0,0,385.61,2.31,0,5.53,0,26.17
 84-94,0,0,1.05,12.88,12.21,0,669.54,0.56,11.52,0,51.81,0,0,1.04,8.67,7.15,0.69,0.58,0,32.09,0,5.17,10.49,2895.97,0,24.64,6.65,0,14.93,0,0,238.19,0,2.14,6.47,1,0
 96-106,0,0,0,20.95,20.72,0,568.72,0,2.74,2.05,63.68,1.38,2.53,0.56,0.76,2.47,0,8.22,0.75,30.09,2.24,0,4.06,2429.44,0.59,10.42,0,0,10.63,0,0.68,103.17,0,0,0.65,4.38,0
108-118,0,0,0.57,20.4,7.12,0.78,725.27,0,3.86,0.84,79.39,0.86,0,1.69,0,0.48,1.24,0.7,2.99,36.8,0,0,2.36,2846.15,0,8.74,0.79,1.76,5.17,0,0,120.97,6.01,0,2.02,2.62,0
120,0,0,0,20.25,17.67,0,1035.88,2.29,5.53,0,104.21,0,0,27.83,0,3.86,0,8.35,0,26.26,0,9.54,1.49,5299.49,0,15.47,0,0,7.99,0,4.28,222.46,0,0,10.97,5.63,0
