stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,38.94,247.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0
  5-6,120.98,1350.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.48,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,25.26,32.16,0,25.16,0,0,0,84.63,0,0,0,0,0,14.75,0,0,0,0,0,0,0,0,0,0,652.72,18.09,0,0,200.13,0,0,0,0,0,0,0,0,0
 10-12,0,19.19,0,6.52,0,0,0,73.03,0,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,439.99,16.82,0,0,147.32,0,5.95,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,24.16,0.92,0,9.74,0,0,0,2.68,0,0,0,0,0,0,0,0,5.69,0,0,7.35,114.83,0,0.96,2.1,3.09,1.12,0,11.61,0,11.04,39.31,0,0,0
 24-34,0.88,0,0,1.99,3.9,0.84,0,21.82,0,0,0,4.88,0,0,0,0,0,1.26,0,12.25,29.68,0.61,1.63,7.73,247.21,0,0,3.15,0,6.39,0,0,0,3.61,56.26,1.62,0,1.39
 36-46,0,0,0,0.96,4.16,0,0,35.63,0,0,1.26,7.38,0,0,0.6,0,0,1.19,0,0,15.48,0,0,4.08,173.42,1.62,0,0.71,0,3.14,0,0,0,0,38.11,2.45,0,0
 48-58,0,0,0,0,7.09,0,0,58.45,0,0,0,8.5,0,0,0.55,0,0,0.39,0,0,17.7,0,0,4.21,82.34,0,0.88,5.16,0,2.3,0,0,0.4,0,22.6,0.43,0,0
 60-70,0,0,0,0,6.44,0,0,49.62,0,1.18,0.67,16.17,0,0,0,3.4,0,0,0,0,18.4,0,0.89,7.35,97.02,0,0,0.69,0,0,0,0,0,0,25.86,2.74,0,0
 72-82,0,0,0.86,0,1.74,0,0,26.41,0,0,0,23.32,0.53,0,1.41,1.33,0.55,0.62,3.84,0,30.47,0,0,2.78,51,2.7,1.89,0,0,2.22,0,0,0,0,7.64,10.44,0,0
 84-94,0,0,0,0,1.56,0,0,17.99,0,0.72,0,7.14,0,0,0,0,2.4,0,2.93,0,12.78,0,0,0,13.06,0,0,0,0,5.56,0,0,0,0,1,0,1.74,0
 96-106,0,0,0,0,1.62,0,0,29.19,0,0.96,1.07,20.33,0,0,0,0.83,1.24,0,0,0,10.95,0,1.32,2.42,29.93,0,0,3.86,0,17.11,0,0,0.69,0,1.91,0,0,1.13
108-118,0,0,0,0,2.98,0,0.65,20.73,0.49,0.96,0.43,11.31,0,0,0.52,0,0,0,0,0,16.17,0,0,2.07,26.4,0,1.88,0.43,0,1.74,0,0,0,0,0,5.43,2.2,0.82
120,0,0,0,0,3.4,0,0,17.52,0,0,0,5.23,0,0,0,0,0,0,0,0,11.97,0,0,6.61,20.42,0,0,0,0,1.58,0,0,0,0,3.3,3.87,0,0
