stage,immune,mesenchyme,neural
  7-9,0,0,13.13
 10-12,0,0,4.48
 24-34,0,8.71,0
 48-58,4.27,0,0
 72-82,1.07,1.26,0
 84-94,2.24,0,0
 96-106,1.68,0,0
108-118,3.31,0.99,0
120,6.41,0,0
