stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,melanocytes,mesenchyme,mural.cell,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  5-6,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.81,0,0,0,0
 14-21,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,5.21,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,2.37,0,0,0,1.18,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0
 60-70,0,0,0,2.17,0,0,3.68,0,0,0,3.29,0,0,0,0,0,0
 72-82,0,8.84,0,0,1.19,1.56,29.18,0,0,0,7.14,0,0,0,0,0,0
 84-94,0,12.55,0.74,0.66,0,0,72.92,0,0,0,2.02,0,0,0,0.7,0,1.2
 96-106,0,10.85,0,0,7.14,2.69,110.1,1.3,2.03,0.8,13.36,0,0,1.45,0,1.45,2.41
108-118,0,12.34,1.14,1.22,0.86,0,86.44,0,0.68,0,17.11,0.92,0,0,0,0,0
120,0,3.64,0,0,1.29,0,45.03,0,0,0,20.36,0,0,0,0,0,0
