stage,axial,blastomeres,epidermis,erythrocytes,eye,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,9.65,145.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,861.43,0,0,0,0,0
  5-6,0,168.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916.94,0,0,0,0,0
  7-9,0,0,0,0,7.44,0,13.62,0,0,0,0,0,0,192.86,0,0,0,4.55,156.82,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,48.23,0,0,0,13.82,32.72,0,0,0,0,0
 14-21,0,0,0,0,0.83,0,0,0,0.8,1.07,1.79,0,0,11.21,2.01,0,2.95,0,16.12,0,1.67,0,0,0
 24-34,0,0,2.52,0,1.64,1.69,0,0,1.38,0,9.18,0,0,1.02,0,2.37,0,0,3.57,0,0,0,0,0
 36-46,0,0,2.84,0,0,0,0,0,0.56,0.71,2.2,0,0,0.81,0,0,0,0,0,0,3.48,0,0,0
 48-58,0,0,8.36,0,1.13,0,0,0,0.75,0,4.85,0,0,1.24,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,10.49,0,1.34,0,0,2.38,0,1.29,3.06,0,0,6.27,0,3.98,0,0,0,0,0,0,0,0
 72-82,0,0,2.28,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,10.78,0,0,0.92,0,0.58,1.64,0,9.27,0,0,0,0,2.2,0,0,0,0,0,4.27,0,0
 96-106,0,0,10.2,1.1,0,1.67,0,0,0.61,0,0,0,0,0,0,0,1.43,0,0,1.86,0,0,4.61,0
108-118,0,0,18.07,0,0,4.5,0,3.75,0.64,1.89,5.42,0.81,1.33,1.18,0,0,0,0,1.93,0,0,3.52,0.66,5.55
120,0,0,5.54,0,0,1.31,0,4.52,0,0,1.1,0,0,0,0,0,0,0,0,0,0,5.97,4.99,0
