stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,57.1,2427.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.81,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.24,675.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,6.27,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.12,0,0,0,13.45,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.59,0,0,0,0,0,0,9.34,0,6.92,0,0,3.51,0,0,0,0,0
 14-21,0,0,1.11,6.94,136.67,40.9,0,13.55,0,0,0,7.91,1.69,0,3.19,1.66,0,0,0,10.52,25.12,0,0,2.66,215.49,2.64,8.92,0,0,0,0,0,4.6,1.44,16.37,21.78,85.95,0,0,4.4,0,5.03
 24-34,0,0,2.07,4.06,115.61,18.43,0,37.53,0,6.24,2.51,28.71,4.38,1.51,12.77,3.07,2.43,1.72,1.16,1.51,77.59,0.77,0,28.79,870.5,1.57,13.08,2.85,0,0,22.8,0,0,4.53,1.73,3.19,234.18,0,0,26.69,0,23.92
 36-46,0,0,0,0.84,96.36,3.8,0,161.69,5.48,14.87,2.89,75.65,0,1.3,19.15,0.6,2.49,8.16,2.66,1.58,176.48,1.15,5.3,21.44,1686.15,6.22,9.95,4.02,0,0,27.66,0,0,0,0,0,331.6,0,0.62,40.63,0,13.48
 48-58,0,0,0,0.43,74.58,5.75,0,357.95,5.49,2.89,5.76,120.86,0,1.07,28.72,0.46,13.28,3.36,0,6.36,220.71,8.99,3.38,44.78,1744.92,9.51,7.35,16.3,0,0,21.33,0,0,0.99,3.29,0,313.48,0,0.84,10.96,0,54.45
 60-70,0,0,0.57,0.85,72.63,7.54,0,686.52,0.61,13.18,17.41,125.45,4.64,12.59,38.96,5.98,6.11,3.79,0,12.23,271.21,6.44,7.53,26.9,1756.11,1.09,4.95,2.29,0.81,11.5,24.35,0,0,1.27,3.58,0,262.24,0,14.19,16.18,1.09,10.99
 72-82,0,0,1.9,0,43.36,29.3,0,533.18,0,3.79,35.14,72.45,5.56,2.94,40.71,4.57,9.84,6.05,0,0.6,224.54,6.65,14.97,16.44,1298.24,10,18.14,9.73,0,3.89,13.7,0,0,1.87,0,0,133.88,0,9.42,34.55,6.69,7.43
 84-94,0,0,6.71,0,67.6,31.19,0,494.32,1.4,15.24,9.99,117.5,18.43,0,47.81,8.25,13.98,4.13,1.62,4.04,262.61,3.21,14.05,18.07,851.36,4.52,14.29,11.92,0,0.83,49.15,0,0,2.96,0,0,118.58,4.71,4.22,37.9,6.23,32.01
 96-106,0,0,4.22,0,61.9,65.71,0,387.61,0,3.93,9.8,96.86,12.64,1.64,60.33,0.95,26.38,5.4,19.74,10.89,148.04,0,9.03,9.49,708.5,1.51,11.67,8.19,0,14.52,21.53,0,0,3.42,1.24,0,21.96,2.04,4.59,48.35,7.01,18.91
108-118,0,0,11.64,0,65.42,40.06,3.73,340.92,3.82,15.53,7.18,85.43,23.12,2.38,62.07,6.54,48.94,1.66,0,11.16,152.8,5.46,18.45,7.55,861.13,1.46,5.98,3.93,0,6.55,11.16,0,0,2.46,4.16,0,21.22,1.47,7.85,55.88,8.42,33.91
120,0,0,0,0,96.42,79.57,2.68,410.61,0,12.93,11.65,86.35,23.94,11.39,105.59,1.06,20.49,0,4.16,0,141.6,0,24.7,17.15,1354.13,2.23,27.03,6.56,0,0,28.74,0,1.12,22.03,7.24,0,13.91,1.9,10.1,123.17,17.38,23.72
