stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,75.67,677.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.06,0,0,0,0,0,0,0,0,0,0
  5-6,15.17,141.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,11.4,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.38,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,21.32,0,0,0,11.56,0,18.85,5.11,0,0,0,0,0,0,0,0,0
 10-12,0,7.49,0,35.65,0,5.53,0,0,0,0,0,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0,186.85,22.21,0,0,20.19,0,0,5.33,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.87,0,8.41,1.23,0,0,0,0,0,0,2.28,0,3.59,0,0,0,0,0.86,0,4.17,0,0,0.99,59.19,5.36,3.34,0,0,0,14.33,0,4.17,0,2.7,40.09,0,0,2.96,0,0.87
 24-34,0,0,0.66,0,11.48,0,0,7.24,0,2.74,0,2.82,0,0,1.44,0,0.65,0,2.3,0.77,6.4,21.27,0,0,5.63,334.95,5.69,19.92,0.62,0,0,29.02,0,1.25,0,1.26,93.7,0,0,15.87,0,3.27
 36-46,0,0,0.77,0,11.72,0,0,57.34,0,0,2.74,13.64,0.72,0,0.93,0,5.9,1.3,0,0,26.41,23.39,0,1.73,7.04,1072.58,1.34,14.95,0,0,0,101.74,0,0.72,0,0,252.99,0,0,11.49,0,3.18
 48-58,0,0,0.59,0,12.22,0,0,255.07,1.44,2.24,1.68,70.44,0,0,0,3.27,0,16.49,0,0,12.6,45.44,0.47,3.42,7.16,1405.57,1.89,7.5,0,0,0.56,24.47,0,0.38,0,0,264.29,0,0.64,6.84,0,24.13
 60-70,0,0,0,0,10.34,0,0,455.4,1.34,0.65,2.48,63.35,0,0,0,3.1,0,8.76,0,0,3.34,78.63,0,10.31,4.69,1602.77,8.27,6.21,0,0,0,39.3,0,0.62,0,0,309.65,0,0.67,5.55,1.28,42.66
 72-82,0,0,0.57,0,8.63,8.38,0,516.95,0,3.01,11.51,131.89,1.82,0,2.38,4.99,0.52,3.73,0.81,2.73,1.63,96.8,1.09,1.13,6.33,1467.2,0,8.06,3.85,0,0,24.93,0,0,0,0,212.65,2.47,3.04,17.01,3.49,9.45
 84-94,0,0,0,0,20.28,4.49,11.01,263.62,0,3.09,3.48,85.11,0.63,0,2.46,6.53,2.75,11.18,0,0.57,17.54,78.86,0,4.34,4.63,966.13,0.6,4.73,5,0,0,54.41,0,0,0,0,154.99,3.29,4.68,23.03,4.74,12.88
 96-106,0,0,1.28,0,36.79,22.47,0,341.89,2.44,1.02,2.3,154.5,2.92,0,2.24,6.65,0.77,27.11,8.6,13.89,4.85,127.93,8.83,0.76,3.85,846.91,0.77,19.56,5.08,0,2.11,56.32,0,3.73,0,0,63.82,1.85,4.57,12.95,1.71,52.03
108-118,0,0,0,0,31.02,10.4,0,318.9,1.73,11.47,9.46,140.15,5.54,0,0.83,3.74,1.96,35.66,0.74,1.12,7.62,77.84,1,2.1,10.03,911.13,2.15,14.9,5.75,0,3.59,61.73,0,1.77,0.49,0,79.97,1.23,2.91,11.94,3.61,25.5
120,0,0,0,0,6.84,8.1,0,284.13,0,8.67,0,276.74,11.66,0,0,10.83,14.09,35.85,6.94,0,0,112.49,0,0,2.52,1379.38,11.49,1.32,1.09,0,0,70.07,0,0,0,0,46.42,1.89,0,18.42,3.36,12.75
