stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
 14-21,0,0.93,0,0,0,0,0,1.17,0,6.78,0,0,0,1.83,0.95,3.89,0,0
 24-34,0.72,1.67,0,0,0,0,0,2.57,0,11.59,0,0,0,0,0,2.83,0,0
 36-46,0,3.43,0,0,1.1,0,0,5.94,0.88,10.89,0,0,0,0,0,1.41,0,0
 48-58,2.05,3.31,0,0,3.23,0,0,0.89,0,3.69,0.99,0,0,0,0,2.05,0,0
 60-70,0,1.34,0,0,0,1.59,0,0.64,0,7.71,0,0,0,0,0,0.92,0,0
 72-82,0,5.47,0,0.85,1.28,0,0,3.18,0,7.4,0,0,0,0,0,0,0,0
 84-94,0,0.8,0,0,1.42,0,1.05,0,0,3.93,0,0,0,0,0,2.87,0,0
 96-106,0,0,1,0,1.48,0,0,1.76,1.12,3.93,0,0,3.03,0,0,0,0,0
108-118,0,1.57,0,0,0,0,0,2.3,0.64,8.7,0,0.47,0,0,0,0,0.54,1.25
120,0,8.76,0,0,7.73,0,0,0,0,12.42,0,0,1.13,0,0,0,0,3.14
