stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,107.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.94,0,0,0,21.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.72,8.38,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,22.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.81,0,0,0,65.48,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,18.38,0.83,0.99,0,0,0,0,0,0,0,0,0,0,6.04,0,0,1.26,26.6,1.01,0,3.84,0.95,0,0,3.61,4.96,4.43,12.49,0,0,0,0
 24-34,0,0,3.59,0,2.44,0,0,0,0.86,0,0,0.9,0,0,0,5.41,0,0,0.8,1.68,2.02,0,0,0,0,2.36,0,0,0,9.86,0,0,0,0
 36-46,0,0,1.53,0,0.66,5.95,1.83,0,2.15,0,0,6.49,0,0,1.51,13.42,0,0,2.06,7.43,0,0,0,0,0,0,0,0.74,0,6.19,0,0,0,0
 48-58,0,0,2.3,0,0.68,0,0,1.86,1.71,0,0.93,0.54,0,0,0,4.48,0,0,0.51,2.22,0,0,0,0,0,0,0,0,0,1.58,0,0,0,0
 60-70,0,0,1.77,0,1.52,0,0,0,13.82,0,0,0.71,0,0,0,21.62,1.14,0,0,2.97,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0.97
 72-82,0,0,0,0,5.24,0,0,0,11.45,0,0,0.98,0,0.94,0,31.24,0,0.57,3.75,9.04,0.57,0,0,0,1.67,0.52,0,0,0,1.99,0.89,0,3.66,5.17
 84-94,0,0,2.12,0,0,0.79,0,1.26,1.77,0.59,0,0.82,0.6,0,0,33.89,0,1.03,0.57,10.06,0,0,0,0,0,0.97,0,0,0,0,0.88,0.91,3.59,0
 96-106,0,0,0.57,0,6.09,0,0.58,0,12.42,0.67,0,1.3,0,0,0,56.17,0,0,0.72,2.73,1.49,0,0,0,0,0.93,0,0.6,0,0,5.46,2.24,1.55,4.01
108-118,0,0,4.26,0,2.48,1.45,4.24,1.53,18.83,1.17,0,0,1.11,2.43,0,44.96,0.73,3.46,0.51,5.75,2.58,0,3.28,0,0.92,0,0,1.11,0,1.26,3.62,1.39,3.1,1.44
120,0,0,6.92,0,11.98,0,0,0,2.12,0,0,8.3,1.43,0,0,18.67,0,0,3.2,23.67,0,1.48,0,0,0,1.88,0,0,0,0,0,0,1.05,2.08
