stage,blastomeres,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,somites,spinal.cord,vascular.smooth.muscle
  5-6,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.73,0,0,0,0,0,0,0,0,0,0,0,4.87,0,0,0
 10-12,0,0,7.51,0,0,0,0,0,0,0,0,4.01,10.25,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,9.14,0,0,0.83,0
 24-34,0,4.63,0,0,0,0,0,0,0,0.9,0,190.75,0,0,4.17,0
 36-46,0,1.55,2.93,1.98,0,0,0,0,2.26,0,2.17,173.85,0,1.18,0.56,0
 48-58,0,0,11.43,1.99,0.76,0,0,0,0,4.8,0.5,110.01,0,0,2.61,0.4
 60-70,0,0,85.53,5.23,0,0,0,0,0,3.9,3.07,53.08,0,0,0,0
 72-82,0,0,68.37,0,0,0,0,0.92,0,1.45,0,42.98,0,0,0,0
 84-94,0,0,37.68,0,0,0,0,0.75,0,0.71,0.71,41.57,0,0,0,0
 96-106,0,0,43.1,3.01,0,0,0,2.51,0,2.33,0,17.38,0,0,0,0
108-118,0,0,43.88,4.25,0,1.38,0.9,1.52,0,0,3.66,22.44,0,0,0,0
120,0,0,8.55,1.14,0,0,0,8.33,0,0,0,26.68,0,0,0,0
