stage,blastomeres,epidermis,eye,fast.muscle,glial,immune,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,spinal.cord,taste,visceral.smooth.muscle
  3-4,32.65,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.86,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.63,0,0
 24-34,0,0,0,0,0,0,0,0,13.93,0,0,5.39,0,0
 36-46,0,0,0,0,0,0,0,0,46.73,0,0,6.08,0,0
 48-58,0,0,4.69,0,0.7,0,0,0,112.69,0,0,17.53,0,0
 60-70,0,0,5.17,0,7.57,0,0,0,208.17,0,0,21.49,0,0
 72-82,0,0,15.66,0,17.13,0,0.5,0,308.75,1.28,0,13.57,1.01,0
 84-94,0,5.18,12.07,0,22.57,0,2.55,0,190.42,1.66,0,22.36,0,0
 96-106,0,1.45,17.29,0,7.76,0.6,0,1.26,194.82,4.55,0,4.46,0,3.31
108-118,0,0,8.72,2.21,20.02,0,0,0,199.78,0,0,5.65,0,1
120,0,4.45,37.07,0,16.43,3.53,0,0,196.31,0,0,0,0,31.33
